data_year,criminal_act_id,offense_id
2024,6,220152837
2024,6,220152838
2024,9,220152841
2024,9,224256802
2024,6,220152860
2024,6,220152862
2024,6,220152866
2024,12,220152873
2024,6,220152882
2024,9,220152883
2024,9,220152893
2024,6,220152902
2024,6,220152903
2024,9,220152904
2024,9,224256803
2024,6,220152907
2024,9,220152908
2024,9,220152915
2024,6,220152917
2024,2,220152924
2024,7,220152926
2024,8,220152927
2024,2,220152930
2024,6,222268210
2024,9,220152942
2024,9,220152946
2024,1,220152956
2024,6,246859455
2024,9,220152969
2024,6,220152970
2024,6,220152971
2024,9,220152972
2024,9,220152975
2024,6,220152976
2024,6,220152977
2024,6,220152980
2024,6,220152981
2024,9,222268214
2024,9,220152989
2024,6,220153000
2024,6,220153006
2024,9,220153007
2024,6,220153009
2024,9,220153010
2024,1,220153011
2024,1,220153012
2024,8,220153013
2024,8,220153014
2024,6,220153015
2024,6,220153016
2024,9,220153027
2024,6,220153030
2024,6,220153031
2024,9,220153033
2024,9,220153042
2024,6,220153043
2024,9,220153048
2024,6,220153056
2024,9,224256808
2024,9,220153063
2024,9,220153064
2024,6,220153068
2024,6,220153069
2024,8,220153074
2024,6,220153086
2024,5,222268220
2024,6,222268220
2024,5,222268221
2024,6,220153088
2024,6,220153089
2024,6,220153106
2024,7,220153107
2024,6,222268227
2024,6,222268228
2024,6,222268229
2024,6,222268233
2024,6,220153108
2024,6,220153109
2024,6,220153110
2024,8,220153111
2024,9,220153114
2024,1,220153117
2024,6,220153118
2024,6,222268239
2024,6,222268240
2024,6,220153123
2024,9,220153128
2024,6,220153129
2024,8,220153130
2024,5,220153132
2024,6,220153133
2024,6,220153142
2024,6,222268246
2024,6,220153143
2024,6,220153144
2024,6,222268250
2024,6,220153146
2024,6,220153153
2024,9,220153154
2024,5,220153155
2024,9,220153163
2024,9,227845143
2024,5,220153174
2024,3,222268258
2024,9,220153180
2024,6,222268264
2024,8,220153187
2024,6,220153188
2024,9,220153189
2024,6,220153192
2024,3,220153194
2024,6,220153194
2024,6,220153195
2024,6,220153200
2024,9,222268276
2024,9,222268279
2024,12,222268280
2024,5,220153234
2024,6,220153235
2024,6,220153236
2024,6,220153242
2024,9,225884404
2024,9,220153246
2024,6,220153253
2024,6,220153257
2024,9,220153259
2024,1,220153261
2024,8,220153285
2024,9,220153287
2024,6,220153288
2024,6,220153291
2024,6,220153294
2024,6,220153297
2024,6,220153299
2024,6,222268290
2024,6,222268291
2024,3,222268292
2024,6,222268296
2024,7,220153308
2024,6,220153315
2024,6,220153316
2024,8,220153318
2024,8,220153319
2024,8,220153320
2024,8,222268313
2024,9,220153327
2024,9,220153329
2024,6,222268317
2024,8,222268318
2024,8,222268319
2024,6,222268325
2024,9,222268326
2024,9,220153337
2024,9,222268329
2024,1,222268337
2024,3,220153345
2024,3,220153346
2024,8,222268342
2024,8,222268347
2024,8,222268348
2024,9,229564683
2024,9,229564684
2024,9,220153353
2024,6,222268355
2024,6,222268363
2024,9,222268365
2024,6,222268366
2024,6,222268367
2024,6,222268368
2024,6,222268369
2024,3,233864646
2024,1,228616469
2024,6,233864653
2024,14,243924362
2024,9,220930156
2024,9,220930166
2024,9,220930169
2024,9,220930178
2024,9,220930179
2024,8,220930186
2024,9,220930187
2024,9,220930188
2024,2,220930193
2024,9,220930196
2024,9,220930197
2024,9,220930198
