data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2024,56333576,,51
2024,56333577,,51
2024,56333578,,51
2024,56333579,,51
2024,56333580,,5
2024,56333581,,51
2024,56333582,,51
2024,56333583,,51
2024,56333584,,51
2024,56333585,,51
2024,56333586,,51
2024,56333587,,53
2024,56333588,,51
2024,56333589,,51
2024,56333591,,51
2024,56333592,,51
2024,56333593,,51
2024,56333594,,51
2024,56333595,,51
2024,56333596,,51
2024,56333597,,51
2024,56333598,,51
2024,56333600,,51
2024,56333601,,51
2024,56333602,,51
2024,57440221,,51
2024,56333603,,51
2024,56333604,,51
2024,56333605,,51
2024,56333606,,51
2024,56333607,,51
2024,56333608,,51
2024,56333609,,51
2024,56333610,,51
2024,56333612,,51
2024,56333613,,51
2024,56333614,,51
2024,56333615,,51
2024,56333616,,51
2024,56333617,,51
2024,56333618,,51
2024,56333619,,9
2024,56333620,,51
2024,56333621,,51
2024,56333622,,51
2024,56333623,,51
2024,56333624,,51
2024,56333625,,51
2024,56333626,,51
2024,56333627,,51
2024,56333628,,51
2024,56333629,,51
2024,56333630,,51
2024,56333631,,51
2024,56333632,,51
2024,56333633,,51
2024,56333634,,51
2024,56333635,,51
2024,56333636,,51
2024,56333637,,51
2024,56333638,,51
2024,56333639,,51
2024,56333640,,51
2024,56333641,,51
2024,56333642,,51
2024,56333643,,51
2024,56333644,,51
2024,56333645,,51
2024,56898055,,51
2024,56898056,,51
2024,56333646,,51
2024,56333647,,51
2024,56333648,,51
2024,56333649,,51
2024,56333650,,51
2024,56898060,,51
2024,56898061,,51
2024,56333651,,51
2024,56333652,,51
2024,56898062,,51
2024,56898063,,51
2024,56333654,,51
2024,56333655,,51
2024,56333656,,51
2024,56333657,,51
2024,56898065,,53
2024,56333658,,51
2024,56333659,,51
2024,56333660,,51
2024,56333661,,5
2024,56333662,,51
2024,56333663,,51
2024,56333664,,51
2024,56333665,,51
2024,58481767,,5
2024,58481768,,5
2024,56333667,,51
2024,56898070,,51
2024,56333669,,51
2024,56333670,,51
2024,56898073,,51
2024,56333671,,52
2024,56333674,,51
2024,56333675,,51
2024,56333676,,51
2024,56333677,,51
2024,56898076,,5
2024,56898077,,5
2024,56898077,,9
2024,56333680,,51
2024,56333681,,51
2024,56333682,,51
2024,56333683,,51
2024,56898078,,51
2024,56898079,,51
2024,56898080,,51
2024,56333687,,51
2024,56333688,,51
2024,56333689,,51
2024,56333690,,51
2024,56333692,,51
2024,56333693,,51
2024,56333694,,5
2024,56333695,,51
2024,56333696,,5
2024,56333698,,51
2024,56333699,,51
2024,56333700,,5
2024,56333701,,51
2024,56898082,,51
2024,56333702,,51
2024,56333703,,51
2024,56333704,,51
2024,56333705,,51
2024,56333706,,51
2024,56333707,,51
2024,56333708,,51
2024,56898083,,51
2024,56333709,,51
2024,56333710,,9
2024,56333711,,51
2024,56898087,,51
2024,56898089,,51
2024,56898090,,51
2024,56898091,,51
2024,56898092,,51
2024,56333712,,51
2024,56898094,,51
2024,56898095,,51
2024,56333713,,53
2024,56898096,,51
2024,56333714,,51
2024,56333715,,51
2024,56333716,,51
2024,56333717,,5
2024,56333718,,51
2024,56898098,,51
2024,56898099,,51
2024,56898100,,51
2024,56898101,,51
2024,56898102,,51
2024,56333719,,51
2024,56898107,,51
2024,56898108,,51
2024,56898109,,51
2024,56898110,,51
2024,58968395,,51
2024,56333720,,51
2024,56898111,,51
2024,56333721,,51
2024,56898112,,51
2024,56898113,,51
2024,56898114,,51
2024,56898115,,51
2024,56898117,,5
2024,56898118,,51
2024,56898119,,5
2024,56898122,,51
2024,56898123,,51
2024,56898129,,51
2024,56898135,,51
2024,57440223,,51
2024,56898138,,51
2024,56898143,,51
2024,56898145,,51
2024,56898146,,51
2024,56898148,,51
2024,56898149,,51
2024,56898150,,51
2024,56898151,,51
2024,56898152,,51
2024,56898153,,51
2024,56898154,,51
2024,56898156,,51
2024,56898157,,51
2024,56898159,,51
2024,56898160,,51
2024,56898162,,51
2024,56898164,,53
2024,56898165,,53
2024,56898166,,53
2024,56898167,,51
2024,56898168,,5
2024,56898169,,51
2024,56898170,,51
2024,56898171,,51
2024,56898172,,51
2024,56898173,,51
2024,56898175,,51
2024,56898176,,5
2024,56898178,,51
2024,56898179,,51
2024,56898180,,51
2024,56898183,,51
2024,56898184,,51
2024,56898185,,51
2024,56898186,,51
2024,56898187,,51
2024,56898188,,51
2024,56898189,,51
2024,56898190,,51
2024,56898192,,51
2024,56898193,,51
2024,56898194,,51
2024,56898196,,51
2024,57440225,,5
2024,57440226,,5
2024,56898197,,5
2024,56898198,,52
2024,56898199,,51
2024,56898200,,51
2024,56898201,,51
2024,56898202,,5
2024,56898203,,51
2024,56898204,,51
2024,56898205,,51
2024,56898206,,51
2024,56898207,,51
2024,56898208,,51
2024,56898209,,51
2024,56898210,,51
2024,56898211,,51
2024,56898212,,51
2024,56898213,,51
2024,56898214,,51
2024,57440227,,51
2024,57440228,,51
2024,56898216,,51
2024,56898217,,51
2024,56898218,,51
2024,56898219,,51
2024,56898220,,51
2024,56898221,,51
2024,56898222,,51
2024,56898223,,51
2024,56898224,,51
2024,56898225,,51
2024,56898226,,51
2024,56898227,,51
2024,56898228,,51
2024,56898229,,51
2024,56898230,,51
2024,56898231,,52
2024,56898232,,51
2024,56898233,,51
2024,56898234,,51
2024,56898235,,51
2024,56898236,,51
2024,56898237,,5
2024,56898238,,5
2024,56898239,,51
2024,56898240,,51
2024,56898241,,51
2024,57440229,,51
2024,56898244,,51
2024,56898245,,51
2024,56898246,,51
2024,56898247,,51
2024,57440230,,51
2024,56898249,,51
2024,56898250,,51
2024,56898251,,51
2024,56898252,,51
2024,56898253,,51
2024,56898254,,51
2024,57440231,,51
2024,56898255,,51
2024,57440232,,51
2024,57440233,,51
2024,57440234,,51
2024,56898257,,51
2024,56898258,,51
2024,56898259,,51
2024,57440235,,51
2024,56898260,,51
2024,56898261,,51
2024,56898262,,51
2024,56898263,,52
2024,56898264,,52
2024,56898265,,51
2024,56898266,,51
2024,56898267,,51
2024,56898268,,51
2024,56898269,,51
2024,56898270,,5
2024,56898271,,51
2024,56898272,,51
2024,56898273,,51
2024,56898274,,5
2024,56898275,,51
2024,56898276,,51
2024,56898277,,51
2024,56898278,,51
2024,56898279,,5
2024,56898280,,51
2024,57440236,,51
2024,56898281,,51
2024,56898282,,51
2024,57440237,,51
2024,56898283,,51
2024,56898284,,51
2024,56898285,,51
2024,56898286,,51
2024,57440238,,51
2024,57440239,,51
2024,56898287,,51
2024,56898288,,51
2024,57440240,,51
2024,57440241,,51
2024,56898289,,51
2024,56898290,,51
2024,57440242,,51
2024,57440243,,51
2024,57897526,,51
2024,57440244,,51
2024,57440245,,51
2024,57440246,,51
2024,58481769,,51
2024,58481770,,51
2024,57440249,,5
2024,56898291,,51
2024,57440250,,52
2024,57440251,,51
2024,57440252,,51
2024,57908206,,5
2024,58481771,,51
2024,57440253,,51
2024,57440254,,51
2024,57440255,,51
2024,57440256,,51
2024,57440257,,51
