data_year,suspect_using_id,offense_id
2024,4,227845133
2024,4,220152831
2024,4,220152832
2024,4,220152833
2024,4,220152834
2024,4,220152835
2024,4,220152836
2024,4,220152837
2024,3,220152838
2024,4,220152839
2024,4,220152840
2024,4,220152841
2024,4,220152842
2024,4,220152843
2024,4,220152844
2024,4,220152845
2024,4,224256802
2024,4,220152847
2024,4,220152848
2024,4,220152849
2024,4,220152850
2024,4,220152852
2024,4,220152853
2024,4,220152854
2024,4,220152855
2024,4,220152856
2024,4,220152857
2024,4,220152858
2024,4,220152859
2024,4,220152860
2024,4,220152861
2024,4,220152862
2024,4,220152863
2024,4,220152864
2024,4,220152865
2024,4,220152866
2024,4,220152867
2024,4,220152870
2024,4,220152871
2024,4,220152872
2024,4,220152873
2024,4,220152875
2024,4,220152876
2024,4,220152877
2024,1,220152878
2024,4,220152879
2024,4,220152880
2024,1,220152881
2024,3,220152881
2024,4,220152882
2024,3,220152883
2024,4,220152884
2024,4,220152885
2024,4,220152887
2024,4,220152888
2024,4,220152889
2024,4,220152890
2024,4,220152891
2024,4,220152892
2024,4,220152893
2024,4,220152894
2024,4,220152896
2024,4,220152897
2024,4,220152898
2024,4,220152899
2024,4,220152900
2024,4,220152901
2024,4,220152902
2024,3,220152903
2024,4,220152904
2024,4,224256803
2024,4,220152905
2024,4,222268206
2024,4,220152906
2024,3,220152907
2024,4,220152908
2024,4,220152909
2024,4,220152912
2024,4,220152913
2024,4,222268208
2024,4,222268209
2024,4,220152915
2024,3,220152917
2024,4,220152918
2024,4,220152919
2024,4,220152920
2024,4,224256804
2024,4,220152923
2024,4,220152924
2024,4,220152925
2024,4,220152926
2024,4,220152927
2024,4,220152929
2024,4,220152930
2024,4,222268210
2024,1,220152931
2024,1,220152932
2024,4,220152933
2024,4,220152934
2024,4,220152935
2024,4,220152936
2024,4,220152937
2024,4,220152938
2024,4,220152939
2024,4,220152941
2024,4,220152942
2024,4,220152943
2024,4,220152944
2024,4,220152945
2024,4,220152946
2024,4,220152947
2024,4,220152948
2024,4,220152949
2024,4,220152950
2024,4,220152951
2024,4,220152952
2024,4,220152953
2024,4,220152954
2024,4,220152955
2024,4,220152956
2024,4,224256805
2024,4,220152958
2024,4,220152959
2024,4,220152960
2024,4,220152961
2024,4,220152963
2024,4,220152964
2024,4,246859455
2024,4,220152966
2024,4,220152967
2024,4,220152968
2024,1,220152969
2024,3,220152969
2024,1,220152970
2024,3,220152970
2024,1,220152971
2024,3,220152971
2024,4,220152972
2024,4,220152973
2024,4,220152974
2024,4,220152975
2024,4,220152976
2024,3,220152977
2024,4,220152980
2024,4,220152981
2024,4,222268214
2024,4,222268215
2024,4,222268216
2024,4,220152985
2024,4,220152986
2024,4,220152987
2024,4,220152989
2024,4,220152991
2024,4,224256806
2024,4,220152992
2024,4,222268218
2024,4,220152995
2024,4,220152996
2024,4,220152997
2024,4,220152998
2024,4,224256807
2024,3,220153000
2024,4,220153001
2024,4,220153002
2024,4,220153003
2024,4,220153004
2024,4,220153005
2024,4,220153006
2024,1,220153007
2024,1,220153008
2024,4,220153009
2024,3,220153010
2024,3,220153011
2024,3,220153012
2024,3,220153013
2024,3,220153014
2024,1,220153015
2024,3,220153016
2024,4,220153017
2024,4,220153018
2024,4,220153019
2024,4,220153020
2024,4,220153021
2024,4,220153022
2024,4,220153023
2024,4,220153024
2024,4,220153025
2024,4,220153026
2024,4,220153027
2024,4,220153028
2024,4,220153029
2024,4,220153030
2024,4,220153031
2024,4,220153032
2024,4,220153033
2024,1,220153034
2024,4,220153035
2024,4,220153036
2024,4,220153040
2024,4,220153041
2024,4,220153042
2024,4,220153043
2024,4,220153044
2024,4,220153045
2024,4,220153046
2024,4,220153047
2024,4,220153048
2024,4,220153049
2024,4,220153050
2024,4,220153051
2024,4,220153052
2024,4,220153053
2024,4,220153054
2024,4,222268219
2024,3,220153056
2024,1,220153057
2024,4,220153058
2024,4,220153059
2024,4,224256808
2024,4,220153061
2024,4,220153062
2024,1,220153063
2024,4,220153064
2024,4,220153065
2024,4,220153066
2024,4,220153067
2024,4,220153068
2024,4,220153069
2024,4,220153070
2024,4,220153071
2024,1,220153072
2024,4,220153073
2024,3,220153074
2024,4,220153075
2024,4,220153076
2024,4,220153077
2024,4,220153078
2024,4,220153079
2024,4,220153080
2024,4,220153081
2024,4,220153082
2024,4,220153083
2024,1,220153084
2024,4,220153085
2024,3,220153086
2024,3,222268220
2024,3,222268221
2024,4,220153087
2024,3,220153088
2024,3,220153089
2024,4,222268223
2024,4,227845142
2024,4,220153093
2024,4,220153094
2024,4,233638657
2024,4,220153095
2024,4,220153096
2024,4,220153098
2024,4,220153099
2024,4,222268224
2024,4,220153101
2024,4,220153102
2024,4,220153103
2024,4,222268225
2024,4,220153105
2024,3,220153106
2024,4,220153107
2024,4,222268227
2024,4,222268228
2024,4,222268229
2024,4,222268231
2024,4,222268232
2024,4,222268233
2024,3,220153108
2024,3,220153109
2024,3,220153110
2024,3,220153111
2024,4,222268234
2024,4,220153114
2024,4,224256809
2024,4,224256810
2024,4,220153117
2024,3,220153118
2024,4,222268237
2024,4,222268238
2024,4,222268239
2024,4,222268240
2024,4,220153121
2024,4,220153122
2024,4,220153123
2024,4,220153124
2024,4,220153125
2024,4,220153126
2024,4,222268241
2024,4,220153127
2024,4,220153128
2024,3,220153129
2024,3,220153130
2024,3,220153131
2024,3,220153132
2024,3,220153133
2024,4,220153134
2024,4,220153135
2024,4,220153136
2024,4,222268243
2024,3,222268244
2024,4,220153137
2024,4,220153138
2024,4,220153139
2024,4,220153140
2024,4,220153141
2024,3,220153142
2024,3,222268246
2024,4,220153143
2024,3,220153144
2024,4,222268247
2024,4,220153145
2024,3,222268250
2024,1,220153146
2024,4,220153147
2024,4,220153148
2024,4,220153150
2024,4,220153151
2024,4,220153152
2024,4,220153153
2024,3,220153154
2024,3,220153155
2024,4,220153157
2024,4,220153159
2024,4,220153160
2024,4,220153161
2024,4,222268252
2024,4,222268254
2024,1,220153163
2024,1,220153164
2024,4,222268255
2024,4,220153167
2024,4,227845143
2024,4,227845144
2024,4,227845145
2024,4,220153174
2024,4,222268258
2024,4,220153175
2024,4,222268259
2024,4,220153178
2024,4,222268261
2024,4,220153180
2024,4,220153182
2024,4,222268263
2024,4,222268264
