data_year,victim_id,offense_id
2024,213370384,227845133
2024,205718114,220152831
2024,205718114,220152832
2024,205718115,220152833
2024,205718116,220152834
2024,205718117,220152835
2024,205718118,220152836
2024,205718119,220152837
2024,205718120,220152838
2024,205718121,220152839
2024,205718121,220152840
2024,205718122,220152841
2024,205718123,220152842
2024,205718124,220152843
2024,205718125,220152843
2024,205718126,220152843
2024,205718127,220152844
2024,205718127,220152845
2024,209784081,224256802
2024,205718129,220152847
2024,205718130,220152849
2024,205718131,220152848
2024,205718132,220152850
2024,205718134,220152852
2024,205718135,220152853
2024,205718135,220152854
2024,205718136,220152855
2024,205718137,220152856
2024,205718137,220152857
2024,205718138,220152858
2024,205718139,220152858
2024,205718140,220152859
2024,205718141,220152862
2024,205718142,220152860
2024,205718142,220152861
2024,205718143,220152863
2024,205718144,220152864
2024,205718145,220152865
2024,205718146,220152866
2024,205718147,220152867
2024,205718150,220152870
2024,205718151,220152871
2024,205718151,220152872
2024,205718152,220152873
2024,205718154,220152875
2024,205718155,220152876
2024,205718156,220152877
2024,205718157,220152878
2024,205718158,220152879
2024,205718158,220152880
2024,205718159,220152881
2024,205718160,220152882
2024,205718161,220152883
2024,205718162,220152884
2024,205718162,220152885
2024,205718164,220152887
2024,205718164,220152888
2024,205718165,220152889
2024,205718166,220152890
2024,205718166,220152891
2024,205718167,220152892
2024,205718168,220152893
2024,205718169,220152893
2024,205718170,220152894
2024,205718172,220152896
2024,205718173,220152897
2024,205718174,220152898
2024,205718174,220152899
2024,205718174,220152900
2024,205718175,220152901
2024,205718176,220152903
2024,205718177,220152902
2024,205718178,220152904
2024,209784082,224256803
2024,209784083,224256803
2024,205718179,220152905
2024,207822644,222268206
2024,205718180,220152906
2024,205718181,220152907
2024,205718182,220152908
2024,205718182,220152909
2024,205718184,220152912
2024,205718184,220152913
2024,207822646,222268209
2024,207822647,222268208
2024,205718187,220152915
2024,205718189,220152917
2024,205718190,220152918
2024,205718191,220152919
2024,205718192,220152920
2024,209784084,224256804
2024,205718195,220152923
2024,205718195,220152924
2024,205718195,220152925
2024,205718195,220152926
2024,205718196,220152927
2024,205718198,220152929
2024,205718199,220152930
2024,207822648,222268210
2024,205718200,220152931
2024,205718201,220152932
2024,205718202,220152933
2024,205718203,220152934
2024,205718204,220152935
2024,205718204,220152936
2024,205718205,220152937
2024,205718206,220152938
2024,205718207,220152939
2024,205718209,220152941
2024,205718210,220152942
2024,205718211,220152943
2024,205718211,220152944
2024,205718212,220152946
2024,205718212,220152947
2024,205718213,220152945
2024,205718213,220152947
2024,205718214,220152948
2024,205718215,220152949
2024,205718216,220152950
2024,205718217,220152951
2024,205718217,220152952
2024,205718218,220152953
2024,205718219,220152954
2024,205718220,220152955
2024,205718221,220152956
2024,209784085,224256805
2024,205718223,220152958
2024,205718224,220152959
2024,205718225,220152960
2024,205718225,220152961
2024,205718227,220152963
2024,205718228,220152964
2024,232382405,246859455
2024,205718230,220152966
2024,205718231,220152967
2024,205718232,220152968
2024,205718233,220152970
2024,205718233,220152971
2024,205718234,220152969
2024,205718235,220152972
2024,205718236,220152973
2024,205718237,220152974
2024,205718238,220152975
2024,205718239,220152977
2024,205718240,220152976
2024,205718242,220152980
2024,205718243,220152981
2024,207822652,222268215
2024,207822653,222268214
2024,207822653,222268216
2024,205718246,220152985
2024,205718247,220152986
2024,205718248,220152987
2024,205718250,220152989
2024,205718251,220152989
2024,205718253,220152991
2024,209784086,224256806
2024,205718254,220152992
2024,207822655,222268218
2024,205718257,220152995
2024,205718257,220152996
2024,205718258,220152997
2024,205718259,220152998
2024,209784087,224256807
2024,205718261,220153000
2024,205718262,220153001
2024,205718263,220153002
2024,205718264,220153003
2024,205718265,220153004
2024,205718266,220153005
2024,205718267,220153006
2024,205718268,220153007
2024,205718268,220153008
2024,205718269,220153009
2024,205718270,220153012
2024,205718270,220153013
2024,205718270,220153014
2024,205718271,220153011
2024,205718272,220153010
2024,205718273,220153010
2024,205718274,220153015
2024,205718275,220153016
2024,205718276,220153017
2024,205718276,220153018
2024,205718277,220153019
2024,205718278,220153020
2024,205718279,220153021
2024,205718280,220153022
2024,205718281,220153023
2024,205718282,220153024
2024,205718283,220153025
2024,205718284,220153026
2024,205718285,220153027
2024,205718286,220153028
2024,205718287,220153030
2024,205718287,220153031
2024,205718288,220153029
2024,205718289,220153032
2024,205718290,220153033
2024,205718291,220153034
2024,205718292,220153034
2024,205718293,220153035
2024,205718294,220153036
2024,205718297,220153040
2024,205718297,220153041
2024,205718298,220153042
2024,205718299,220153043
2024,205718300,220153044
2024,205718300,220153045
2024,205718300,220153046
2024,205718301,220153047
2024,205718302,220153048
2024,205718303,220153049
2024,205718304,220153049
2024,205718305,220153050
2024,205718306,220153051
2024,205718307,220153052
2024,205718308,220153053
2024,205718309,220153054
2024,207822656,222268219
2024,205718311,220153056
2024,205718312,220153057
2024,205718313,220153057
2024,205718314,220153058
2024,205718315,220153059
2024,209784088,224256808
2024,205718317,220153062
2024,205718318,220153061
2024,205718319,220153063
2024,205718320,220153064
2024,205718321,220153064
2024,205718322,220153065
2024,205718322,220153066
2024,205718323,220153067
2024,205718324,220153068
2024,205718324,220153069
2024,205718325,220153070
2024,205718326,220153071
2024,205718327,220153072
2024,205718328,220153073
2024,205718329,220153074
2024,205718330,220153075
2024,205718331,220153076
2024,205718332,220153077
2024,205718333,220153078
2024,205718334,220153079
2024,205718335,220153080
2024,205718336,220153081
2024,205718337,220153082
2024,205718338,220153083
2024,205718339,220153084
2024,205718340,220153085
2024,205718341,220153086
2024,207822657,222268220
2024,207822657,222268221
2024,205718342,220153087
2024,205718343,220153088
2024,205718343,220153089
2024,207822659,222268223
2024,213370394,227845142
2024,205718346,220153093
2024,205718347,220153094
2024,219161108,233638657
2024,205718348,220153095
2024,205718349,220153096
2024,205718351,220153098
2024,205718352,220153099
2024,207822660,222268224
2024,205718354,220153101
2024,205718354,220153102
2024,205718354,220153103
2024,207822661,222268225
2024,205718356,220153105
2024,205718357,220153106
2024,205718358,220153107
2024,207822663,222268228
2024,207822663,222268229
2024,219161672,233639246
2024,219161672,233639247
2024,220596184,235077877
2024,206563130,221004919
2024,206563131,221004920
2024,206563132,221004921
2024,206563133,221004921
2024,206563134,221004921
2024,206563135,221004922
2024,219390808,233864646
2024,229464661,243924361
2024,206563136,221004923
2024,208347336,222802337
