data_year,victim_id,injury_id
2024,205718122,5
2024,209784081,5
2024,205718136,5
2024,205718157,5
2024,205718159,5
2024,205718161,5
2024,205718178,5
2024,209784082,5
2024,209784083,5
2024,207822644,5
2024,205718180,4
2024,205718182,5
2024,205718184,5
2024,207822646,5
2024,205718187,5
2024,205718190,4
2024,205718200,5
2024,205718201,4
2024,205718206,4
2024,205718207,5
2024,205718210,5
2024,205718211,5
2024,205718212,5
2024,205718214,4
2024,209784085,5
2024,205718234,5
2024,205718235,4
2024,205718238,5
2024,207822653,5
2024,205718246,5
2024,205718248,4
2024,205718250,4
2024,205718251,5
2024,209784086,4
2024,207822655,5
2024,205718258,4
2024,205718268,5
2024,205718272,5
2024,205718273,5
2024,205718285,4
2024,205718290,5
2024,205718291,5
2024,205718292,5
2024,205718298,5
2024,205718302,5
2024,205718305,4
2024,207822656,5
2024,205718317,5
2024,205718319,5
2024,205718320,4
2024,205718321,5
2024,205718332,4
2024,205718333,5
2024,205718338,5
2024,205718339,4
2024,213370394,5
2024,207822666,4
2024,207822667,5
2024,207822668,5
2024,207822669,5
2024,205718363,5
2024,209784089,5
2024,207822674,4
2024,207822675,5
2024,205718369,5
2024,205718370,5
2024,205718371,4
2024,207822680,4
2024,205718401,5
2024,205718403,4
2024,205718409,5
2024,207822687,5
2024,205718412,4
2024,213370395,5
2024,213370396,5
2024,205718431,5
2024,205718435,4
2024,207822699,5
2024,205718439,4
2024,207822704,5
2024,207822705,5
2024,207822706,5
2024,207822707,5
2024,207822708,5
2024,207822709,5
2024,205718453,4
2024,205718455,5
2024,205718456,5
2024,205718458,5
2024,205718459,5
2024,207822710,5
2024,207822712,5
2024,207822713,5
2024,205718472,4
2024,205718473,4
2024,205718482,4
2024,205718483,5
2024,205718485,5
2024,211422076,4
2024,205718488,4
2024,205718489,4
2024,205718493,3
2024,205718501,5
2024,205718508,5
2024,205718517,2
2024,205718519,4
2024,207822721,4
2024,205718527,5
2024,215085148,5
2024,205718530,6
2024,205718538,5
2024,207822727,5
2024,205718555,5
2024,207822734,5
2024,209784094,5
2024,205718567,1
2024,205718568,5
2024,205718569,5
2024,205718571,4
2024,205718572,4
2024,205718573,4
2024,207822755,5
2024,205718578,4
2024,207822757,4
2024,207822762,4
2024,205718584,4
2024,211457377,5
2024,207822774,5
2024,215085149,4
2024,215085150,6
2024,205718588,4
2024,207822777,6
2024,205718590,4
2024,207822783,5
2024,207822784,5
2024,209784095,4
2024,207822790,4
2024,207822796,5
2024,207822804,4
2024,207822811,4
2024,207822816,5
2024,207822817,5
2024,207822818,4
2024,207822828,5
2024,207822832,4
2024,207822833,3
2024,222523369,5
2024,207822844,5
2024,207822851,4
2024,207822855,5
2024,207822869,4
2024,207822875,5
2024,207822902,4
2024,207822903,4
2024,207822909,6
2024,207822910,5
2024,209784099,5
2024,207822912,4
2024,207822913,2
2024,207822913,4
2024,207822921,4
2024,207822929,5
2024,209784100,5
2024,207822935,4
2024,207822940,5
2024,207822941,5
2024,216984599,5
2024,216984600,5
2024,230247857,5
2024,207822969,5
2024,207822978,5
2024,207822980,4
2024,207822990,5
2024,228391678,5
2024,207822994,4
2024,207822996,5
2024,207822997,5
2024,207822998,5
2024,226181299,5
2024,207823014,5
2024,207823015,5
2024,207823036,5
2024,207823038,4
2024,207823039,4
2024,207823041,5
2024,207823042,4
2024,207823043,4
2024,207823044,5
2024,207823045,5
2024,207823046,5
2024,209784103,2
2024,209784103,4
2024,207823048,2
2024,207823049,5
2024,207823050,5
2024,207823057,4
2024,207823059,5
2024,207823061,4
2024,207823063,5
2024,207823067,5
2024,207823068,4
2024,207823073,4
2024,207823073,6
2024,213370400,5
2024,213370401,5
2024,207823093,5
