yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
127932024,12793,2024,NM0140400,NM0140400,,N,N,,I,CAPITAN,CAPITAN PD,Capitan,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,1391,25186,NMUCR0001,New Mexico Department of Public Safety,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,1,1,2.2,2.9,2018-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,LINCOLN,Not Specified,Y,Y,Y
127952024,12795,2024,NM0150100,NM0150100,,N,N,,I,LOS ALAMOS,LOS ALAMOS PD,Los Alamos,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,19609,25186,NMUCR0001,New Mexico Department of Public Safety,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,,,,,,,,,2018-01-01,2021-04-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,N,LOS ALAMOS,Not Specified,Y,Y,Y
127982024,12798,2024,NM0170000,NM0170000,,N,N,,I,MCKINLEY,MCKINLEY CO SO GALLUP,McKinley,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,48102,25186,NMUCR0001,New Mexico Department of Public Safety,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,32,1,33,5,6,11,0.8,0.9,2018-01-01,2020-11-01,2020-11-01,2020-11-01,2020-11-01,2020-11-01,N,MCKINLEY,Not Specified,Y,Y,Y
127992024,12799,2024,NM0170100,NM0170100,,N,N,,I,GALLUP,GALLUP PD,Gallup,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,20019,25186,NMUCR0001,New Mexico Department of Public Safety,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,35,6,41,11,12,23,2.3,3.2,2018-01-01,2020-07-01,2020-07-01,2020-07-01,2020-07-01,2020-07-01,N,MCKINLEY,Not Specified,Y,Y,Y
128002024,12800,2024,NM0170300,NM0170300,,Y,N,,I,ZUNI TRIBAL,ZUNI TRIBAL PD ZUNI,Zuni Tribal,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,Tribal,0,32798,NM0170300,Zuni Tribal,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,10,3,13,0,7,7,0,0,2021-01-01,2021-01-01,2021-01-01,2021-02-01,2021-02-01,2021-02-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
128012024,12801,2024,NM0170400,NM0170400,,Y,N,,I,RAMAH NAVAJO TRIBAL,RAMAH NAVAJO PD,Ramah Navajo Tribal,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,Tribal,0,32678,NM0170400,Ramah Navajo Tribal,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,2,7,9,0,0,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
128022024,12802,2024,NM0180000,NM0180000,,N,N,,I,MORA,MORA CO SO MORA,Mora,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,4134,25186,NMUCR0001,New Mexico Department of Public Safety,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,9,1,10,2,2,4,2.7,3.4,2018-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,MORA,Not Specified,Y,Y,Y
128052024,12805,2024,NM0190100,NM0190100,,N,N,,I,ALAMOGORDO,ALAMOGORDO PD,Alamogordo,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,31401,25186,NMUCR0001,New Mexico Department of Public Safety,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,43,12,55,2,17,19,1.4,2.4,2018-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,OTERO,Not Specified,Y,Y,Y
128062024,12806,2024,NM0190200,NM0190200,,N,N,,I,TULAROSA,TULAROSA PD,Tularosa,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,City,2614,25186,NMUCR0001,New Mexico Department of Public Safety,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,4,4,8,0,2,2,1.5,3.8,2018-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,N,OTERO,Not Specified,Y,Y,Y
128092024,12809,2024,NM0200000,NM0200000,,N,N,,I,QUAY,QUAY CO SO TUCUMCARI,Quay,,A,36,New Mexico,NM,NM,8,Mountain,4,West,Region IV,County,2478,25186,NMUCR0001,New Mexico Department of Public Safety,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,,,2018-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,QUAY,Not Specified,Y,Y,Y
