data_year,weapon_id,offense_id,nibrs_weapon_id
2024,17,220152837,
2024,42,220152841,
2024,5,224256802,
2024,9,224256802,
2024,42,220152855,
2024,41,220152878,
2024,42,220152881,
2024,5,220152883,
2024,9,220152883,
2024,31,220152904,
2024,41,224256803,
2024,41,222268206,
2024,41,220152906,
2024,42,220152908,
2024,5,220152912,
2024,5,222268208,
2024,5,222268209,
2024,21,220152915,
2024,41,220152918,
2024,5,222268210,
2024,41,220152931,
2024,41,220152932,
2024,39,220152938,
2024,42,220152939,
2024,42,220152942,
2024,7,220152943,
2024,41,220152946,
2024,41,220152948,
2024,41,224256805,
2024,42,220152969,
2024,41,220152972,
2024,41,220152975,
2024,41,222268214,
2024,39,222268214,
2024,41,220152985,
2024,41,220152987,
2024,37,220152987,
2024,41,220152989,
2024,41,224256806,
2024,42,222268218,
2024,41,220152997,
2024,41,220153007,
2024,41,220153010,
2024,9,220153012,
2024,5,220153015,
2024,41,220153027,
2024,42,220153033,
2024,41,220153034,
2024,42,220153042,
2024,5,220153048,
2024,32,220153050,
2024,42,222268219,
2024,1,224256808,
2024,38,220153062,
2024,41,220153063,
2024,41,220153064,
2024,41,220153077,
2024,42,220153078,
2024,21,220153083,
2024,41,220153084,
2024,41,227845142,
2024,3,220153105,
2024,1,222268231,
2024,41,222268231,
2024,38,222268232,
2024,1,222268233,
2024,1,220153109,
2024,41,220153114,
2024,1,224256809,
2024,41,222268238,
2024,38,220153121,
2024,1,220153122,
2024,1,220153123,
2024,41,222268244,
2024,21,220153151,
2024,41,220153154,
2024,21,220153159,
2024,42,222268252,
2024,42,220153163,
2024,42,220153164,
2024,1,227845143,
2024,38,227845144,
2024,42,220153180,
2024,38,220153184,
2024,42,222268265,
2024,42,220153189,
2024,5,222268270,
2024,5,222268271,
2024,9,222268271,
2024,5,222268275,
2024,1,220153200,
2024,38,220153202,
2024,41,220153205,
2024,41,220153207,
2024,41,220153208,
2024,41,220153209,
2024,41,222268276,
2024,42,222268279,
2024,41,220153226,
2024,41,220153239,
2024,5,220153240,
2024,38,220153241,
2024,5,220153242,
2024,41,225884404,
2024,41,225884405,
2024,42,220153245,
2024,41,220153246,
2024,21,220153251,
2024,5,220153257,
2024,42,220153259,
2024,1,220153265,
2024,41,220153273,
2024,5,220153275,
2024,38,222268288,
2024,39,220153283,
2024,39,220153285,
2024,42,229564682,
2024,1,220153287,
2024,38,220153296,
2024,9,222268291,
2024,9,220153308,
2024,5,222268297,
2024,38,222268298,
2024,41,220153313,
2024,41,222268302,
2024,5,224256816,
2024,32,220153326,
2024,41,220153327,
2024,38,220153329,
2024,5,220153330,
2024,41,220153331,
2024,41,222268326,
2024,38,220153337,
