data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2024,179567152,10,,,
2024,179567152,11,1,,
2024,181156375,38,1,,
2024,179567156,63,300,,
2024,179567157,15,1,,
2024,189482641,63,500,,
2024,179567158,3,1001,,
2024,179567158,63,25,,
2024,179567159,19,270,,
2024,179567161,8,100,,
2024,179567162,20,2000,,
2024,181156376,35,999,,
2024,179567164,31,1500,,
2024,179567165,3,1,,
2024,179567165,36,1,,
2024,181156377,42,500,,
2024,179567167,20,6784,,
2024,179567168,10,,,
2024,179567169,3,1,2024-01-17,
2024,181156379,3,1,2024-01-17,
2024,181156380,10,,,
2024,181156380,11,1,,
2024,179567170,13,1,2024-01-18,
2024,179567171,10,,,
2024,179567171,48,1,,
2024,181156382,16,210,,
2024,181156382,36,100,,
2024,181156382,42,200,,
2024,181156382,63,1,,
2024,182624335,63,6100,,
2024,179567175,28,24000,2024-01-17,
2024,179567176,10,,,
2024,181156385,19,168,2024-01-17,
2024,181156386,10,,,
2024,181156386,11,1,,
2024,181156387,19,168,,
2024,179567179,19,460,,
2024,179567179,63,44,,
2024,179567180,19,50,,
2024,179567181,61,415,,
2024,181156388,25,1,,
2024,181156388,51,0,,
2024,181156388,61,430,,
2024,181156388,63,1,,
2024,179567182,63,354,2024-01-17,
2024,179567183,63,354,,
2024,179567184,10,,,
2024,179567184,11,1,,
2024,179567185,3,1,2024-01-18,
2024,179567186,10,,,
2024,179567187,35,70000,,
2024,179567188,28,1,,
2024,179567188,38,1000,,
2024,179567189,4,1100,,
2024,179567189,7,1400,,
2024,179567189,8,300,,
2024,179567189,16,100,,
2024,179567189,63,120,,
2024,181156391,26,200,,
2024,179567190,3,1,,
2024,179567191,20,1346,,
2024,179567192,3,1,,
2024,179567192,38,1,,
2024,179567193,3,1,2024-01-18,
2024,179567194,10,,,
2024,179567195,3,1,,
2024,181156393,10,,,
2024,179567196,24,1,2024-01-18,
2024,179567197,10,,,
2024,181156394,3,300,,
2024,179567198,3,1,2024-01-19,
2024,179567199,3,1,,
2024,181156397,10,,,
2024,179567200,10,,,
2024,179567201,13,500,,
2024,179567202,16,860,,
2024,179567204,36,3000,,
2024,179567205,38,1,2024-01-19,
2024,179567206,38,1,,
2024,179567207,10,,,
2024,179567209,63,1,,
2024,179567211,19,25,,
2024,179567212,2,26,,
2024,181156400,38,1,,
2024,181156401,3,800,,
2024,179567216,52,0,,
2024,185267315,3,1,,
2024,185267315,29,1,,
2024,179567220,3,1,2024-01-20,
2024,181156403,10,,,
2024,179567221,8,300,,
2024,181156404,48,1,,
2024,181156404,63,1,,
2024,179567223,24,1,,
2024,181156405,24,1,,
2024,179567226,63,56,2024-01-20,
2024,179567227,63,56,,
2024,181156406,3,1,2024-01-20,
2024,181156406,19,68,2024-01-20,
2024,181156407,19,68,,
2024,179567228,19,980,,
2024,179567230,10,,,
2024,179567230,11,1,,
2024,181156408,2,6,,
2024,181156411,63,1,,
2024,179567233,10,,,
2024,179567235,3,1,,
2024,179567235,10,,,
2024,179567235,11,1,,
2024,179567235,13,1,,
2024,181156414,3,4,,
2024,181156415,47,0,,
2024,179567238,63,1,,
2024,179567239,63,350,,
2024,179567240,63,250,,
2024,179567242,61,200,,
2024,179567243,2,1,,
2024,179567244,31,300,,
2024,179567245,7,1500,,
2024,179567246,3,1000,,
2024,179567247,35,200,,
2024,179567248,24,1,,
2024,179567249,3,10000,2024-01-22,
2024,179567249,36,2000,2024-01-22,
2024,179567249,64,10000,2024-01-22,
2024,179567250,3,10000,,
2024,179567250,36,2000,,
2024,179567250,64,10000,,
2024,179567251,35,300,,
2024,179567252,36,800,,
2024,185267316,36,1,,
2024,185267316,51,0,,
2024,185267316,63,1,,
2024,179567254,63,1,,
2024,179567256,64,1,2024-01-22,
2024,179567257,10,,,
2024,179567257,11,1,,
2024,179567259,61,1000,,
2024,179567260,52,0,,
2024,179567261,15,1,,
2024,179567261,63,1,,
2024,179567262,42,4889,,
2024,179567263,51,0,,
2024,179567264,38,1,,
2024,179567265,24,1,2024-01-23,
2024,179567266,19,41,,
2024,179567267,19,54,2024-01-23,
2024,179567268,19,54,,
2024,182624338,3,6000,,
2024,179567269,20,475,,
2024,179567269,25,2475,,
2024,179567269,63,20,,
2024,179567270,3,1,2024-01-24,
2024,179567271,20,112,,
2024,179567271,23,50,,
2024,179567272,35,1000,,
2024,181156418,2,103,,
2024,179567273,9,0,2024-01-24,
2024,179567273,17,1,2024-01-24,
2024,179567274,9,0,,
2024,179567274,11,1,,
2024,179567274,17,1,,
2024,179567274,20,4000,,
2024,179567275,8,1,,
2024,179567276,19,245,2024-01-24,
2024,179567277,19,245,,
2024,179567278,63,1,,
2024,179567280,52,0,,
2024,179567281,25,150,,
2024,179567281,51,0,,
2024,181156421,3,150,,
2024,181156421,38,150,,
2024,181156422,38,300,,
2024,179567283,35,1000,,
2024,179567284,29,300,,
2024,179567284,38,500,,
2024,179567286,3,1000,,
2024,179567287,61,1,,
2024,179567288,42,3000,,
2024,179567289,22,0,,
2024,179567290,22,0,,
2024,181156425,19,255,2024-01-25,
2024,181156426,19,255,,
2024,179567292,11,1,,
2024,179567293,3,1000,,
2024,179567294,3,1,2024-01-25,
2024,179567295,10,,,
2024,179567296,3,1,,
2024,179567297,8,349,2024-01-25,
2024,179567298,8,349,,
2024,179567299,11,1,,
2024,179567300,10,,,
2024,179567301,42,800,,
2024,181156427,13,1,2024-02-02,
2024,181156428,3,1,,
2024,181156428,10,,,
2024,181156428,13,1,,
2024,181156428,48,1,,
2024,181156428,49,1,,
2024,179567303,3,1,2024-01-26,
2024,179567304,3,1,,
2024,179567306,42,500,,
2024,179567307,16,150,,
2024,179567307,20,400,,
2024,179567308,28,1,,
2024,181156430,22,0,,
2024,181156431,22,0,,
2024,179567309,6,130,,
2024,179567309,10,1,,
2024,179567309,16,35,,
2024,179567309,61,300,,
2024,179567309,63,150,,
2024,181156432,9,0,,
2024,181156432,16,1,,
2024,181156432,25,1,,
2024,181156432,51,0,,
2024,181156432,61,1000,,
2024,179567312,3,1,2024-01-26,
2024,179567313,10,,,
2024,181156434,63,1350,,
2024,181156436,51,0,,
2024,179567314,2,18,,
2024,179567315,3,1,2024-01-27,
2024,179567316,10,,,
2024,179567316,11,1,,
2024,179567317,38,1,,
2024,179567318,13,511,,
2024,181156437,3,1,,
2024,181156441,2,3,,
2024,181156442,2,61,,
2024,181156444,10,,,
2024,179567320,3,1,,
2024,179567320,16,200,,
2024,179567320,29,9000,,
2024,179567321,31,200,,
2024,179567321,60,180,,
2024,179567321,63,200,,
2024,181156445,2,26,,
2024,181156447,10,,,
2024,181156447,11,1,,
2024,179567323,8,150,,
2024,179567324,28,3000,,
2024,179567325,38,1,,
2024,179567325,43,3000,,
2024,181156448,10,,,
2024,181156450,27,1,,
2024,179567326,13,1,,
2024,179567327,38,20,,
2024,181156452,10,,,
2024,181156453,61,60,,
2024,179567329,63,225,,
2024,179567330,24,2002,,
2024,179567330,64,1001,,
2024,181156455,36,5050,,
2024,181156457,20,1500,2024-01-29,
2024,181156458,20,1500,,
2024,181156461,20,100,,
2024,179567334,10,,,
2024,179567334,11,1,,
2024,181156462,3,1,,
2024,181156464,63,700,,
2024,181156465,11,1,,
2024,181156466,36,1960,,
2024,181156467,3,1,,
2024,181156470,51,0,,
2024,181156471,3,1000,2024-01-29,
2024,181156472,11,1,,
2024,179567335,3,1,,
2024,179567335,47,0,,
2024,179567335,51,0,,
2024,183848154,29,200,,
2024,183848155,23,740,,
2024,183848155,25,60,,
2024,181156473,42,300,,
2024,181156473,63,10000,,
2024,181156474,19,3,,
2024,181156474,45,5,,
2024,181156475,3,1,2024-01-30,
2024,181156478,63,37000,,
2024,182624339,38,1,,
2024,181156480,17,331,2024-01-30,
2024,181156480,19,65,2024-01-30,
2024,181156481,10,,,
2024,181156482,17,331,,
2024,181156482,19,65,,
2024,181156485,3,1,2024-01-30,
2024,181156486,3,1,2024-01-30,
2024,181156486,13,1,2024-01-30,
2024,181156487,10,,,
2024,181156487,13,1,,
2024,181156487,25,1,,
2024,181156487,49,1,,
2024,181156487,63,1,,
2024,181156491,3,1,2024-01-31,
2024,181156491,36,1,2024-01-31,
2024,181156492,3,1,,
2024,181156492,36,1,,
2024,181156493,7,800,,
2024,181156497,15,1200,,
2024,181156499,63,35000,,
2024,181156500,19,86,,
2024,181156506,27,100,,
2024,181156509,8,1,2024-02-01,
2024,181156510,8,1,,
2024,181156511,42,1500,,
2024,181156512,20,30,,
2024,181156512,23,300,,
2024,181156514,51,0,,
2024,181156515,3,20000,,
2024,182624341,3,1,,
2024,182624342,6,20,2024-02-02,
2024,182624342,7,50,2024-02-01,
2024,182624343,6,20,,
2024,182624343,7,50,,
2024,181156519,19,5,2024-02-01,
2024,181156520,19,5,,
2024,181156524,47,0,,
2024,181156530,19,197,,
2024,181156532,42,200,,
2024,181156538,3,1,2024-02-01,
2024,181156542,6,24,,
2024,181156546,16,100,,
2024,181156548,17,6050,,
2024,181156551,2,6,,
2024,181156551,8,1,,
2024,181156553,10,,,
2024,181156555,2,18,,
2024,181156558,13,1,,
2024,181156561,11,1,,
2024,181156564,3,1,,
2024,182624344,20,31654,,
2024,181156566,2,114,,
2024,181156568,19,220,,
2024,181156571,7,2000,,
2024,181156571,61,2600,,
2024,181156572,38,1,2024-02-02,
2024,181156573,10,,,
2024,181156575,36,1000,,
2024,181156576,3,1001,2024-02-04,
2024,181156577,3,1001,,
2024,181156578,63,200,,
2024,181156579,36,1000,,
2024,181156580,3,1,,
2024,181156582,61,200,,
2024,181156582,63,700,,
2024,181156583,38,1300,,
2024,199164718,10,,,
2024,181156584,10,,,
2024,181156585,3,1,,
2024,181156587,2,58,,
2024,181156589,61,1000,,
