data_year,bias_id,offense_id
2024,88,227845133
2024,88,220152831
2024,88,220152832
2024,88,220152833
2024,88,220152834
2024,88,220152835
2024,88,220152836
2024,88,220152837
2024,88,220152838
2024,88,220152839
2024,88,220152840
2024,88,220152841
2024,88,220152842
2024,88,220152843
2024,88,220152844
2024,88,220152845
2024,88,224256802
2024,88,220152847
2024,88,220152848
2024,88,220152849
2024,88,220152850
2024,88,220152852
2024,88,220152853
2024,88,220152854
2024,88,220152855
2024,88,220152856
2024,88,220152857
2024,88,220152858
2024,88,220152859
2024,88,220152860
2024,88,220152861
2024,88,220152862
2024,88,220152863
2024,88,220152864
2024,88,220152865
2024,88,220152866
2024,88,220152867
2024,88,220152870
2024,88,220152871
2024,88,220152872
2024,88,220152873
2024,88,220152875
2024,88,220152876
2024,88,220152877
2024,88,220152878
2024,88,220152879
2024,88,220152880
2024,88,220152881
2024,88,220152882
2024,88,220152883
2024,88,220152884
2024,88,220152885
2024,88,220152887
2024,88,220152888
2024,88,220152889
2024,88,220152890
2024,88,220152891
2024,88,220152892
2024,88,220152893
2024,88,220152894
2024,88,220152896
2024,88,220152897
2024,88,220152898
2024,88,220152899
2024,88,220152900
2024,88,220152901
2024,88,220152902
2024,88,220152903
2024,88,220152904
2024,88,224256803
2024,88,220152905
2024,88,222268206
2024,88,220152906
2024,88,220152907
2024,88,220152908
2024,88,220152909
2024,88,220152912
2024,88,220152913
2024,88,222268208
2024,88,222268209
2024,88,220152915
2024,88,220152917
2024,88,220152918
2024,88,220152919
2024,88,220152920
2024,88,224256804
2024,88,220152923
2024,88,220152924
2024,88,220152925
2024,88,220152926
2024,88,220152927
2024,88,220152929
2024,88,220152930
2024,88,222268210
2024,88,220152931
2024,88,220152932
2024,88,220152933
2024,88,220152934
2024,88,220152935
2024,88,220152936
2024,88,220152937
2024,88,220152938
2024,88,220152939
2024,88,220152941
2024,88,220152942
2024,88,220152943
2024,88,220152944
2024,88,220152945
2024,88,220152946
2024,88,220152947
2024,88,220152948
2024,88,220152949
2024,88,220152950
2024,88,220152951
2024,88,220152952
2024,88,220152953
2024,88,220152954
2024,88,220152955
2024,88,220152956
2024,88,224256805
2024,88,220152958
2024,88,220152959
2024,88,220152960
2024,88,220152961
2024,88,220152963
2024,88,220152964
2024,88,246859455
2024,88,220152966
2024,88,220152967
2024,88,220152968
2024,88,220152969
2024,88,220152970
2024,88,220152971
2024,88,220152972
2024,88,220152973
2024,88,220152974
2024,88,220152975
2024,88,220152976
2024,88,220152977
2024,88,220152980
2024,88,220152981
2024,88,222268214
2024,88,222268215
2024,88,222268216
2024,88,220152985
2024,88,220152986
2024,88,220152987
2024,88,220152989
2024,88,220152991
2024,88,224256806
2024,88,220152992
2024,88,222268218
2024,88,220152995
2024,88,220152996
2024,88,220152997
2024,88,220152998
2024,88,224256807
2024,88,220153000
2024,88,220153001
2024,88,220153002
2024,88,220153003
2024,88,220153004
2024,88,220153005
2024,88,220153006
2024,88,220153007
2024,88,220153008
2024,88,220153009
2024,88,220153010
2024,88,220153011
2024,88,220153012
2024,88,220153013
2024,88,220153014
2024,88,220153015
2024,88,220153016
2024,88,220153017
2024,88,220153018
2024,88,220153019
2024,88,220153020
2024,88,220153021
2024,88,220153022
2024,88,220153023
2024,88,220153024
2024,88,220153025
2024,88,220153026
2024,88,220153027
2024,88,220153028
2024,88,220153029
2024,88,220153030
2024,88,220153031
2024,88,220153032
2024,88,220153033
2024,88,220153034
2024,88,220153035
2024,88,220153036
2024,88,220153040
2024,88,220153041
2024,88,220153042
2024,88,220153043
2024,88,220153044
2024,88,220153045
2024,88,220153046
2024,88,220153047
2024,88,220153048
2024,88,220153049
2024,88,220153050
2024,88,220153051
2024,88,220153052
2024,88,220153053
2024,88,220153054
2024,88,222268219
2024,88,220153056
2024,88,220153057
2024,88,220153058
2024,88,220153059
2024,88,224256808
2024,88,220153061
2024,88,220153062
