State,Total all classes,Violent crime,Property crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice ,Sex offenses (except rape and prostitution),Drug abuse violations,Gambling,Offenses against the family and children ,Driving under the influence,Liquor laws,Drunkenness,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Abbrv,latitude,longitude
RHODE ISLAND,23559,720,2324,10,66,95,549,360,1734,195,35,4080,259,353,69,172,834,393,17,56,1325,3,87,2811,337,0,2089,0,7627,0,3,RI,41.580095,-71.477429
SOUTH CAROLINA,152320,7325,18627,377,381,769,5798,2409,15056,1036,126,17181,669,2485,247,1841,2916,2740,98,265,25603,105,1179,14388,3400,0,6681,564,45996,0,10,SC,33.836081,-81.163725
SOUTH DAKOTA,40886,1221,1707,18,40,65,1098,248,1243,201,15,4874,124,423,22,139,543,306,3,58,5902,2,723,5762,1569,0,2599,483,14402,0,24,SD,43.969515,-99.901813
TENNESSEE,249904,13105,24886,437,343,917,11408,3470,18600,2680,136,29480,1308,3320,413,1307,3758,2869,138,485,32971,88,2034,20542,2458,0,4545,9,105825,0,363,TN,35.517491,-86.580447
TEXAS,571126,32610,65725,955,1874,5116,24665,7969,50023,7190,543,95973,2680,6605,245,1398,8146,15349,1910,835,91160,278,2513,59654,4927,0,6583,2692,171830,0,13,TX,31.968599,-99.901813
UTAH,97657,3008,11789,61,418,352,2177,735,10622,344,88,9758,381,745,9,606,2909,1003,47,449,14780,0,1804,8695,3127,0,2596,276,35418,0,257,UT,39.32098,-111.093731
VERMONT,13624,953,2203,10,79,70,794,212,1858,113,20,1584,62,206,37,113,372,53,1,28,853,0,8,2015,26,0,525,0,4585,0,0,VT,44.558803,-72.577841
VIRGINIA,206152,7903,26657,351,448,1193,5911,1735,23418,1340,164,31322,1126,5433,677,1030,3437,5218,174,589,14456,24,1126,17365,2152,0,7923,64,79326,0,150,VA,37.431573,-78.656894
WASHINGTON,152270,8875,24234,180,505,1723,6467,4049,18779,1184,222,25199,273,730,16,3122,4532,1976,90,380,10299,0,259,24796,744,0,2065,547,44132,0,1,WA,47.751074,-120.740139
WEST VIRGINIA,28542,1050,3437,31,81,44,894,461,2837,115,24,3818,95,221,41,210,369,309,20,39,5582,2,89,2599,158,0,456,41,10004,0,2,WV,38.597626,-80.454903
WISCONSIN,182053,7045,19415,156,807,785,5297,1193,16845,1282,95,17822,353,1482,308,847,4579,3500,202,824,21300,3,1608,17646,5759,0,22332,848,55155,0,1025,WI,43.78444,-88.787868
WYOMING,18033,385,1335,9,33,21,322,121,1122,81,11,1893,37,52,4,14,318,89,5,25,3288,0,108,2885,1130,0,980,66,5325,0,94,WY,43.075968,-107.290284
