state_abbr,state_name,county_name,latitude,longitude,Population_2024,Arrests_2024,Violent_Crimes_2024,Property_Crimes_2024,Arrest_Rate,Violent_Crime_Rate,Property_Crime_Rate
AK,Alaska,ALEUTIANS WEST,51.959447,-178.338813,4204.0,42,6,4.0,999.0485252140819,142.72121788772597,95.14747859181732
AK,Alaska,BETHEL,60.928916,-160.15335,6280.0,748,104,145.0,11910.828025477707,1656.0509554140126,2308.917197452229
AK,Alaska,BRISTOL BAY,58.732389,-156.986661,856.0,28,7,6.0,3271.0280373831774,817.7570093457944,700.9345794392523
AK,Alaska,DILLINGHAM,59.824816,-158.602233,2088.0,35,7,1.0,1676.2452107279694,335.2490421455939,47.89272030651341
AK,Alaska,FAIRBANKS NORTH STAR,64.79724,-147.53511500000002,34166.0,1052,237,1157.0,3079.0844699408767,693.6720716501785,3386.4075396593107
AK,Alaska,HAINES,59.098771,-135.576936,2083.0,15,6,8.0,720.1152184349496,288.04608737397984,384.0614498319731
AK,Alaska,JUNEAU,58.356556,-134.50731,31612.0,794,163,668.0,2511.7044160445403,515.6269770973048,2113.1215993926357
AK,Alaska,KENAI PENINSULA,60.2641195,-151.54388825,21451.0,913,42,258.0,4256.211831616242,195.79506782900566,1202.741130949606
AK,Alaska,KETCHIKAN GATEWAY,55.449938,-131.106685,8050.0,113,32,175.0,1403.7267080745341,397.51552795031057,2173.913043478261
AK,Alaska,KODIAK ISLAND,57.8049,-152.37332,5289.0,153,14,54.0,2892.7963698241633,264.70032142181884,1020.986954055587
AK,Alaska,MATANUSKA-SUSITNA,61.892425,-149.259902,16773.0,667,61,333.0,3976.6291063017948,363.67972336493176,1985.3335718118406
AK,Alaska,NOME,64.783686,-164.188912,3621.0,383,30,26.0,10577.188621927644,828.5004142502071,718.0336923501795
AK,Alaska,NORTH SLOPE,69.449343,-153.47283,10564.0,285,63,56.0,2697.841726618705,596.3650132525559,530.1022340022719
AK,Alaska,NORTHWEST ARCTIC,67.005066,-160.021086,2940.0,151,32,21.0,5136.0544217687075,1088.4353741496598,714.2857142857142
AK,Alaska,NOT SPECIFIED,61.57875083333334,-145.97556266666666,278769.0,5934,1630,1850.0,2128.644146228598,584.7135083169219,663.6318959425188
AK,Alaska,PETERSBURG,55.415683,-132.875734,3465.0,59,7,21.0,1702.7417027417027,202.02020202020202,606.060606060606
AK,Alaska,PRINCE OF WALES-HYDER,55.415683,-132.875734,1042.0,58,3,2.0,5566.218809980806,287.90786948176583,191.93857965451056
