,county,state,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Female,Male,Total population
788,Virginia Beach city,Virginia,0.055,0.055999999999999994,0.065,0.057999999999999996,0.064,0.147,0.14800000000000002,0.115,0.061,0.062,0.099,0.055999999999999994,0.015,0.511,0.489,454808.0
789,Volusia County,Florida,0.044000000000000004,0.046,0.05,0.055,0.057,0.11699999999999999,0.115,0.113,0.064,0.081,0.14400000000000002,0.091,0.024,0.512,0.488,602772.0
790,Wagoner County,Oklahoma,0.054000000000000006,0.06,0.075,0.07,0.053,0.128,0.14300000000000002,0.11900000000000001,0.048,0.076,0.102,0.057999999999999996,0.013999999999999999,0.499,0.501,91257.0
791,Wake County,North Carolina,0.055999999999999994,0.057999999999999996,0.067,0.068,0.064,0.146,0.152,0.13699999999999998,0.055999999999999994,0.057999999999999996,0.08199999999999999,0.044000000000000004,0.011000000000000001,0.51,0.49,1232444.0
792,Walker County,Alabama,0.057999999999999996,0.051,0.08800000000000001,0.053,0.057999999999999996,0.129,0.10800000000000001,0.11800000000000001,0.081,0.053,0.11699999999999999,0.064,0.02,0.51,0.49,65260.0
793,Walker County,Georgia,0.055,0.05,0.055999999999999994,0.053,0.059000000000000004,0.127,0.133,0.135,0.062,0.062,0.11699999999999999,0.073,0.019,0.518,0.48200000000000004,69340.0
794,Walker County,Texas,0.022000000000000002,0.049,0.045,0.09,0.13,0.115,0.129,0.163,0.053,0.059000000000000004,0.08800000000000001,0.048,0.009000000000000001,0.42700000000000005,0.573,83722.0
795,Waller County,Texas,0.065,0.065,0.067,0.10300000000000001,0.102,0.091,0.155,0.133,0.033,0.055999999999999994,0.08199999999999999,0.038,0.01,0.512,0.488,65109.0
796,Walton County,Florida,0.059000000000000004,0.042,0.073,0.043,0.068,0.11599999999999999,0.132,0.11599999999999999,0.063,0.08199999999999999,0.128,0.067,0.01,0.499,0.501,89666.0
797,Walton County,Georgia,0.051,0.06,0.077,0.07200000000000001,0.07,0.106,0.135,0.135,0.051,0.07200000000000001,0.1,0.055,0.016,0.51,0.49,109792.0
798,Walworth County,Wisconsin,0.037000000000000005,0.05,0.059000000000000004,0.07,0.10300000000000001,0.098,0.105,0.124,0.063,0.077,0.128,0.066,0.019,0.49,0.51,106029.0
799,Ward County,North Dakota,0.071,0.045,0.075,0.057,0.102,0.156,0.13699999999999998,0.106,0.032,0.068,0.085,0.038,0.027999999999999997,0.48,0.52,68427.0
800,Warren County,Kentucky,0.059000000000000004,0.05,0.071,0.08,0.10400000000000001,0.145,0.13699999999999998,0.115,0.065,0.04,0.079,0.035,0.02,0.493,0.507,147936.0
801,Warren County,New Jersey,0.043,0.044000000000000004,0.057999999999999996,0.057,0.043,0.13699999999999998,0.12300000000000001,0.13,0.071,0.075,0.126,0.075,0.016,0.505,0.495,112031.0
802,Warren County,New York,0.040999999999999995,0.044000000000000004,0.048,0.040999999999999995,0.055999999999999994,0.11900000000000001,0.11699999999999999,0.114,0.069,0.08900000000000001,0.153,0.081,0.028999999999999998,0.501,0.499,65288.0
803,Warren County,Ohio,0.051,0.061,0.073,0.07,0.057,0.109,0.14300000000000002,0.136,0.059000000000000004,0.071,0.10099999999999999,0.052000000000000005,0.016,0.491,0.509,256059.0
804,Warrick County,Indiana,0.051,0.065,0.066,0.075,0.059000000000000004,0.107,0.132,0.126,0.075,0.053,0.107,0.062,0.023,0.509,0.491,66339.0
805,Washington County,Arkansas,0.061,0.06,0.067,0.086,0.106,0.152,0.135,0.107,0.048,0.05,0.076,0.040999999999999995,0.011000000000000001,0.501,0.499,266184.0
806,Washington County,Maryland,0.051,0.059000000000000004,0.063,0.068,0.049,0.129,0.139,0.126,0.059000000000000004,0.069,0.10800000000000001,0.055,0.023,0.496,0.504,157228.0
807,Washington County,Minnesota,0.054000000000000006,0.067,0.07,0.063,0.059000000000000004,0.115,0.142,0.124,0.059000000000000004,0.07200000000000001,0.10300000000000001,0.053,0.02,0.501,0.499,283960.0
808,Washington County,Oregon,0.052000000000000005,0.057999999999999996,0.059000000000000004,0.059000000000000004,0.057999999999999996,0.158,0.159,0.133,0.053,0.057999999999999996,0.091,0.05,0.015,0.502,0.498,611272.0
809,Washington County,Pennsylvania,0.046,0.055999999999999994,0.054000000000000006,0.06,0.055999999999999994,0.11199999999999999,0.124,0.11800000000000001,0.069,0.076,0.136,0.07,0.025,0.503,0.49700000000000005,210434.0
810,Washington County,Rhode Island,0.034,0.045,0.040999999999999995,0.076,0.092,0.10400000000000001,0.098,0.107,0.066,0.08900000000000001,0.14400000000000002,0.08199999999999999,0.022000000000000002,0.514,0.486,130333.0
811,Washington County,Tennessee,0.048,0.05,0.047,0.066,0.09,0.135,0.11699999999999999,0.121,0.063,0.067,0.115,0.057999999999999996,0.024,0.515,0.485,139642.0
812,Washington County,Utah,0.059000000000000004,0.065,0.067,0.07,0.071,0.11800000000000001,0.12,0.10099999999999999,0.039,0.055,0.126,0.084,0.025,0.5,0.5,207943.0
813,Washington County,Wisconsin,0.049,0.052000000000000005,0.066,0.053,0.052000000000000005,0.106,0.128,0.124,0.069,0.083,0.129,0.062,0.026000000000000002,0.504,0.496,138727.0
814,Washoe County,Nevada,0.05,0.061,0.052000000000000005,0.061,0.062,0.15,0.14,0.115,0.057999999999999996,0.067,0.109,0.057999999999999996,0.017,0.489,0.511,507280.0
815,Washtenaw County,Michigan,0.044000000000000004,0.05,0.051,0.08900000000000001,0.12300000000000001,0.141,0.122,0.107,0.051,0.055999999999999994,0.098,0.049,0.02,0.498,0.502,373875.0
816,Waukesha County,Wisconsin,0.048,0.055,0.062,0.061,0.052000000000000005,0.106,0.133,0.124,0.059000000000000004,0.085,0.124,0.065,0.027000000000000003,0.501,0.499,417029.0
817,Wayne County,Indiana,0.051,0.086,0.057,0.059000000000000004,0.063,0.11800000000000001,0.113,0.11199999999999999,0.06,0.078,0.114,0.06,0.028999999999999998,0.508,0.49200000000000005,66410.0
818,Wayne County,Michigan,0.06,0.064,0.067,0.064,0.06,0.14300000000000002,0.125,0.11900000000000001,0.061,0.062,0.105,0.052000000000000005,0.018000000000000002,0.517,0.483,1771063.0
819,Wayne County,New York,0.045,0.062,0.051,0.052000000000000005,0.053,0.12300000000000001,0.128,0.11199999999999999,0.067,0.085,0.13,0.068,0.024,0.484,0.516,90757.0
820,Wayne County,North Carolina,0.065,0.063,0.065,0.068,0.07400000000000001,0.125,0.145,0.095,0.05,0.07,0.106,0.055999999999999994,0.015,0.507,0.493,120338.0
821,Wayne County,Ohio,0.064,0.07200000000000001,0.057,0.075,0.075,0.11800000000000001,0.114,0.10400000000000001,0.062,0.059000000000000004,0.115,0.065,0.021,0.504,0.496,116632.0
822,Webb County,Texas,0.08,0.08199999999999999,0.09,0.087,0.081,0.142,0.11900000000000001,0.12,0.047,0.046,0.063,0.034,0.009000000000000001,0.501,0.499,272823.0
823,Weber County,Utah,0.063,0.069,0.076,0.071,0.07200000000000001,0.162,0.139,0.11900000000000001,0.048,0.052000000000000005,0.081,0.035,0.013999999999999999,0.494,0.506,276118.0
824,Weld County,Colorado,0.068,0.066,0.07200000000000001,0.07,0.063,0.152,0.154,0.11599999999999999,0.052000000000000005,0.051,0.084,0.039,0.012,0.491,0.509,369745.0
825,Westchester County,New York,0.052000000000000005,0.057,0.059000000000000004,0.064,0.061,0.114,0.131,0.134,0.07,0.066,0.10400000000000001,0.061,0.026000000000000002,0.513,0.48700000000000004,1006447.0
826,Western Connecticut Planning Region,Connecticut,0.052000000000000005,0.06,0.061,0.063,0.057,0.122,0.132,0.129,0.068,0.073,0.105,0.054000000000000006,0.024,0.507,0.493,637013.0
827,Westmoreland County,Pennsylvania,0.044000000000000004,0.05,0.051,0.054000000000000006,0.052000000000000005,0.109,0.114,0.124,0.068,0.08,0.147,0.08199999999999999,0.027000000000000003,0.504,0.496,350935.0
828,Whatcom County,Washington,0.037000000000000005,0.055999999999999994,0.052000000000000005,0.069,0.09699999999999999,0.13699999999999998,0.135,0.11,0.06,0.053,0.11199999999999999,0.065,0.018000000000000002,0.5,0.5,234954.0
829,White County,Arkansas,0.055999999999999994,0.057,0.069,0.084,0.064,0.12300000000000001,0.124,0.125,0.065,0.062,0.10099999999999999,0.052000000000000005,0.02,0.511,0.489,79091.0
830,Whitfield County,Georgia,0.057999999999999996,0.063,0.07200000000000001,0.068,0.081,0.135,0.11800000000000001,0.133,0.07400000000000001,0.047,0.078,0.054000000000000006,0.019,0.488,0.512,105070.0
831,Wichita County,Texas,0.055999999999999994,0.073,0.055,0.086,0.087,0.138,0.141,0.09699999999999999,0.046,0.057999999999999996,0.098,0.045,0.02,0.48700000000000004,0.513,129984.0
832,Wicomico County,Maryland,0.062,0.054000000000000006,0.055999999999999994,0.068,0.107,0.141,0.114,0.1,0.054000000000000006,0.064,0.106,0.055,0.018000000000000002,0.523,0.47700000000000004,106329.0
833,Wilkes County,North Carolina,0.051,0.061,0.049,0.049,0.06,0.113,0.107,0.125,0.071,0.078,0.13,0.068,0.038,0.503,0.49700000000000005,66186.0
834,Will County,Illinois,0.053,0.062,0.068,0.07200000000000001,0.065,0.122,0.136,0.138,0.064,0.065,0.09300000000000001,0.05,0.013000000000000001,0.501,0.499,708583.0
835,Williamson County,Illinois,0.051,0.065,0.055,0.057,0.049,0.125,0.13699999999999998,0.12300000000000001,0.066,0.067,0.115,0.07,0.021,0.49700000000000005,0.503,67064.0
836,Williamson County,Tennessee,0.045,0.069,0.084,0.07400000000000001,0.06,0.086,0.14,0.155,0.07200000000000001,0.055,0.094,0.049,0.016,0.504,0.496,269136.0
837,Williamson County,Texas,0.06,0.065,0.067,0.064,0.055,0.15,0.17300000000000001,0.134,0.051,0.048,0.076,0.043,0.013000000000000001,0.5,0.5,727480.0
838,Wilson County,North Carolina,0.040999999999999995,0.066,0.077,0.052000000000000005,0.07400000000000001,0.115,0.122,0.126,0.066,0.064,0.11900000000000001,0.059000000000000004,0.019,0.524,0.47600000000000003,79958.0
839,Wilson County,Tennessee,0.059000000000000004,0.057999999999999996,0.07,0.067,0.052000000000000005,0.12300000000000001,0.153,0.135,0.063,0.062,0.098,0.048,0.013999999999999999,0.51,0.49,169948.0
840,Winnebago County,Illinois,0.059000000000000004,0.064,0.067,0.06,0.065,0.129,0.12,0.11699999999999999,0.057999999999999996,0.069,0.11199999999999999,0.06,0.019,0.512,0.488,283790.0
841,Winnebago County,Wisconsin,0.047,0.057,0.054000000000000006,0.066,0.09,0.126,0.13,0.11800000000000001,0.062,0.068,0.106,0.053,0.021,0.494,0.506,173307.0
842,Wise County,Texas,0.057,0.066,0.07400000000000001,0.068,0.048,0.135,0.129,0.129,0.066,0.071,0.098,0.042,0.017,0.488,0.512,81275.0
843,Wood County,Ohio,0.045,0.064,0.053,0.079,0.121,0.126,0.12,0.10800000000000001,0.045,0.063,0.106,0.054000000000000006,0.016,0.501,0.499,133077.0
844,Wood County,West Virginia,0.052000000000000005,0.05,0.066,0.051,0.055,0.115,0.124,0.122,0.055,0.086,0.128,0.073,0.024,0.505,0.495,82757.0
845,Wood County,Wisconsin,0.048,0.06,0.055999999999999994,0.065,0.048,0.114,0.122,0.11599999999999999,0.064,0.079,0.13,0.065,0.032,0.49700000000000005,0.503,73943.0
846,Woodbury County,Iowa,0.07400000000000001,0.068,0.065,0.083,0.075,0.133,0.11699999999999999,0.11900000000000001,0.045,0.059000000000000004,0.098,0.052000000000000005,0.013000000000000001,0.516,0.484,107257.0
847,Worcester County,Massachusetts,0.051,0.055,0.059000000000000004,0.066,0.064,0.13,0.135,0.124,0.064,0.073,0.107,0.055999999999999994,0.017,0.503,0.49700000000000005,881248.0
848,Wright County,Minnesota,0.066,0.07200000000000001,0.077,0.077,0.053,0.11699999999999999,0.142,0.131,0.052000000000000005,0.067,0.08800000000000001,0.045,0.013999999999999999,0.493,0.507,154593.0
849,Wyandotte County,Kansas,0.071,0.07200000000000001,0.078,0.081,0.073,0.13699999999999998,0.131,0.11699999999999999,0.051,0.053,0.084,0.038,0.015,0.504,0.496,169418.0
850,Yakima County,Washington,0.066,0.083,0.079,0.08199999999999999,0.068,0.139,0.122,0.107,0.049,0.053,0.08800000000000001,0.046,0.017,0.498,0.502,258523.0
851,Yamhill County,Oregon,0.045,0.062,0.053,0.063,0.077,0.12,0.14,0.12300000000000001,0.051,0.068,0.11,0.069,0.017,0.499,0.501,110886.0
852,Yavapai County,Arizona,0.035,0.032,0.051,0.052000000000000005,0.039,0.08900000000000001,0.1,0.09699999999999999,0.06,0.087,0.20199999999999999,0.13,0.025,0.507,0.493,252013.0
853,Yellowstone County,Montana,0.049,0.064,0.066,0.068,0.055999999999999994,0.128,0.139,0.11900000000000001,0.05,0.064,0.113,0.061,0.022000000000000002,0.507,0.493,171583.0
854,Yolo County,California,0.043,0.06,0.05,0.10800000000000001,0.147,0.13699999999999998,0.11699999999999999,0.10300000000000001,0.046,0.049,0.083,0.044000000000000004,0.012,0.511,0.489,225251.0
855,York County,Maine,0.042,0.055999999999999994,0.040999999999999995,0.053,0.049,0.128,0.128,0.114,0.07,0.084,0.14300000000000002,0.07400000000000001,0.02,0.505,0.495,220143.0
856,York County,Pennsylvania,0.054000000000000006,0.057,0.065,0.063,0.057,0.12300000000000001,0.135,0.11800000000000001,0.064,0.071,0.113,0.062,0.021,0.502,0.498,471240.0
857,York County,South Carolina,0.054000000000000006,0.057,0.077,0.068,0.059000000000000004,0.113,0.156,0.132,0.066,0.057,0.1,0.051,0.012,0.513,0.48700000000000004,303001.0
858,York County,Virginia,0.042,0.063,0.08199999999999999,0.068,0.055999999999999994,0.096,0.136,0.134,0.065,0.057,0.12300000000000001,0.068,0.012,0.488,0.512,71410.0
859,Yuba County,California,0.07400000000000001,0.085,0.076,0.07,0.067,0.133,0.14800000000000002,0.10800000000000001,0.05,0.055999999999999994,0.076,0.040999999999999995,0.018000000000000002,0.493,0.507,87469.0
860,Yuma County,Arizona,0.062,0.067,0.068,0.057,0.08900000000000001,0.134,0.124,0.091,0.036000000000000004,0.059000000000000004,0.102,0.083,0.027000000000000003,0.484,0.516,220310.0
