,county,state,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Female,Male,Total population
687,Scott County,Iowa,0.055999999999999994,0.059000000000000004,0.069,0.064,0.061,0.127,0.138,0.12,0.066,0.057,0.107,0.049,0.027000000000000003,0.51,0.49,175601.0
688,Scott County,Minnesota,0.051,0.068,0.081,0.07400000000000001,0.059000000000000004,0.121,0.15,0.13,0.064,0.067,0.08199999999999999,0.043,0.012,0.494,0.506,157206.0
689,Sebastian County,Arkansas,0.057999999999999996,0.06,0.073,0.066,0.067,0.125,0.128,0.12300000000000001,0.055,0.066,0.11,0.054000000000000006,0.013999999999999999,0.512,0.488,130035.0
690,Sedgwick County,Kansas,0.062,0.062,0.073,0.071,0.07,0.142,0.13,0.11,0.05,0.062,0.1,0.048,0.019,0.504,0.496,536081.0
691,Seminole County,Florida,0.049,0.051,0.063,0.059000000000000004,0.059000000000000004,0.142,0.152,0.13,0.062,0.06,0.098,0.055999999999999994,0.018000000000000002,0.514,0.486,494605.0
692,Sevier County,Tennessee,0.052000000000000005,0.053,0.053,0.062,0.055999999999999994,0.13,0.11599999999999999,0.124,0.07200000000000001,0.068,0.129,0.062,0.022000000000000002,0.502,0.498,100184.0
693,Shasta County,California,0.051,0.063,0.06,0.062,0.051,0.124,0.129,0.111,0.057,0.069,0.128,0.078,0.017,0.51,0.49,181121.0
694,Shawnee County,Kansas,0.054000000000000006,0.055,0.075,0.061,0.052000000000000005,0.133,0.133,0.105,0.054000000000000006,0.067,0.126,0.062,0.021,0.513,0.48700000000000004,177942.0
695,Sheboygan County,Wisconsin,0.05,0.054000000000000006,0.065,0.059000000000000004,0.06,0.127,0.122,0.11800000000000001,0.067,0.073,0.12300000000000001,0.061,0.021,0.495,0.505,118331.0
696,Shelby County,Alabama,0.053,0.055999999999999994,0.068,0.069,0.062,0.11699999999999999,0.141,0.131,0.065,0.057,0.10800000000000001,0.059000000000000004,0.013999999999999999,0.514,0.486,235969.0
697,Shelby County,Tennessee,0.067,0.068,0.073,0.067,0.065,0.14300000000000002,0.13,0.11599999999999999,0.054000000000000006,0.06,0.096,0.046,0.016,0.526,0.474,910530.0
698,Sherburne County,Minnesota,0.069,0.066,0.071,0.068,0.052000000000000005,0.134,0.14800000000000002,0.128,0.07400000000000001,0.057999999999999996,0.083,0.034,0.015,0.483,0.517,103059.0
699,Shiawassee County,Michigan,0.048,0.049,0.066,0.055999999999999994,0.057,0.121,0.113,0.131,0.079,0.075,0.125,0.064,0.017,0.495,0.505,67982.0
700,Skagit County,Washington,0.054000000000000006,0.052000000000000005,0.067,0.05,0.054000000000000006,0.12300000000000001,0.126,0.11199999999999999,0.055999999999999994,0.068,0.13699999999999998,0.076,0.025,0.505,0.495,132736.0
701,Smith County,Texas,0.062,0.068,0.066,0.076,0.066,0.125,0.133,0.11,0.05,0.063,0.106,0.059000000000000004,0.015,0.516,0.484,249091.0
702,Snohomish County,Washington,0.057999999999999996,0.066,0.055,0.057,0.053,0.14800000000000002,0.165,0.124,0.061,0.057999999999999996,0.095,0.046,0.013999999999999999,0.495,0.505,864113.0
703,Solano County,California,0.053,0.057999999999999996,0.064,0.057999999999999996,0.063,0.135,0.14300000000000002,0.11900000000000001,0.059000000000000004,0.064,0.10800000000000001,0.055999999999999994,0.021,0.501,0.499,455101.0
704,Somerset County,New Jersey,0.049,0.057,0.06,0.06,0.057999999999999996,0.12300000000000001,0.133,0.139,0.07,0.073,0.10300000000000001,0.057999999999999996,0.018000000000000002,0.507,0.493,357467.0
705,Somerset County,Pennsylvania,0.045,0.047,0.055,0.051,0.053,0.107,0.11800000000000001,0.126,0.07400000000000001,0.075,0.14400000000000002,0.07400000000000001,0.032,0.474,0.526,72134.0
706,Sonoma County,California,0.046,0.047,0.054000000000000006,0.06,0.055999999999999994,0.11800000000000001,0.136,0.122,0.061,0.069,0.131,0.075,0.024,0.509,0.491,485375.0
707,South Central Connecticut Planning Region,Connecticut,0.05,0.052000000000000005,0.054000000000000006,0.069,0.073,0.133,0.126,0.115,0.071,0.061,0.11,0.064,0.021,0.516,0.484,576718.0
708,Southeastern Connecticut Planning Region,Connecticut,0.045,0.054000000000000006,0.053,0.061,0.073,0.134,0.124,0.11,0.057999999999999996,0.08,0.11900000000000001,0.067,0.021,0.5,0.5,282602.0
709,Spalding County,Georgia,0.055999999999999994,0.07200000000000001,0.061,0.079,0.036000000000000004,0.126,0.135,0.11199999999999999,0.061,0.061,0.107,0.08800000000000001,0.006,0.515,0.485,70292.0
710,Spartanburg County,South Carolina,0.06,0.07,0.059000000000000004,0.068,0.064,0.141,0.13,0.12,0.055999999999999994,0.069,0.09699999999999999,0.05,0.017,0.516,0.484,369256.0
711,Spokane County,Washington,0.053,0.06,0.059000000000000004,0.064,0.063,0.146,0.14400000000000002,0.113,0.057,0.061,0.107,0.055999999999999994,0.02,0.5,0.5,555947.0
712,Spotsylvania County,Virginia,0.055999999999999994,0.068,0.071,0.073,0.053,0.125,0.138,0.13,0.061,0.069,0.091,0.055,0.012,0.505,0.495,152021.0
713,St. Charles County,Missouri,0.052000000000000005,0.057,0.069,0.063,0.057999999999999996,0.127,0.138,0.127,0.059000000000000004,0.068,0.106,0.059000000000000004,0.017,0.505,0.495,423726.0
714,St. Clair County,Alabama,0.047,0.052000000000000005,0.08199999999999999,0.055,0.055,0.125,0.15,0.11800000000000001,0.054000000000000006,0.071,0.11199999999999999,0.055,0.022000000000000002,0.505,0.495,96927.0
715,St. Clair County,Illinois,0.05,0.062,0.069,0.07,0.054000000000000006,0.124,0.136,0.121,0.059000000000000004,0.07200000000000001,0.114,0.047,0.024,0.516,0.484,251149.0
716,St. Clair County,Michigan,0.047,0.057999999999999996,0.054000000000000006,0.057,0.055999999999999994,0.11800000000000001,0.109,0.128,0.073,0.081,0.131,0.064,0.024,0.5,0.5,160308.0
717,St. Croix County,Wisconsin,0.052000000000000005,0.065,0.065,0.067,0.051,0.11699999999999999,0.139,0.13,0.063,0.076,0.109,0.047,0.02,0.49200000000000005,0.508,97954.0
718,St. Francois County,Missouri,0.055,0.06,0.053,0.057,0.065,0.139,0.139,0.124,0.059000000000000004,0.068,0.10400000000000001,0.063,0.013999999999999999,0.47600000000000003,0.524,67503.0
719,St. Johns County,Florida,0.040999999999999995,0.055999999999999994,0.071,0.067,0.045,0.081,0.146,0.142,0.069,0.066,0.124,0.073,0.02,0.509,0.491,334928.0
