,county,state,In labor force,Not in labor force,Population 16 years and over
479,Marquette County,Michigan,0.604,0.396,58053.0
480,Marshall County,Alabama,0.59,0.41,77656.0
481,Martin County,Florida,0.503,0.49700000000000005,141664.0
482,Mason County,Washington,0.498,0.502,57589.0
483,Matanuska-Susitna Borough,Alaska,0.603,0.397,92107.0
484,Maui County,Hawaii,0.634,0.366,133809.0
485,Maury County,Tennessee,0.649,0.35100000000000003,91119.0
486,Mayagüez Municipio,Puerto Rico,0.37,0.63,60786.0
487,McCracken County,Kentucky,0.603,0.397,55005.0
488,McHenry County,Illinois,0.688,0.312,255748.0
489,McKinley County,New Mexico,0.5,0.5,54119.0
490,McLean County,Illinois,0.6609999999999999,0.33899999999999997,141214.0
491,McLennan County,Texas,0.628,0.37200000000000005,213389.0
492,Mecklenburg County,North Carolina,0.735,0.265,967797.0
493,Medina County,Ohio,0.6579999999999999,0.342,151124.0
494,Mendocino County,California,0.556,0.444,73192.0
495,Merced County,California,0.608,0.392,225213.0
496,Mercer County,New Jersey,0.682,0.318,316009.0
497,Mercer County,Pennsylvania,0.542,0.45799999999999996,90750.0
498,Merrimack County,New Hampshire,0.669,0.331,133780.0
499,Mesa County,Colorado,0.614,0.386,135092.0
500,Miami County,Ohio,0.642,0.358,90217.0
501,Miami-Dade County,Florida,0.657,0.34299999999999997,2345796.0
502,Middlesex County,Massachusetts,0.705,0.295,1388616.0
503,Middlesex County,New Jersey,0.685,0.315,726779.0
504,Midland County,Michigan,0.593,0.40700000000000003,69080.0
505,Midland County,Texas,0.701,0.299,136038.0
506,Milwaukee County,Wisconsin,0.6609999999999999,0.33899999999999997,736758.0
507,Minnehaha County,South Dakota,0.731,0.26899999999999996,162985.0
508,Missoula County,Montana,0.688,0.312,104819.0
509,Mobile County,Alabama,0.599,0.401,328922.0
510,Mohave County,Arizona,0.475,0.525,195408.0
511,Monmouth County,New Jersey,0.6509999999999999,0.349,532935.0
512,Monongalia County,West Virginia,0.665,0.335,93025.0
513,Monroe County,Florida,0.62,0.38,69695.0
514,Monroe County,Indiana,0.625,0.375,122160.0
515,Monroe County,Michigan,0.603,0.397,128089.0
516,Monroe County,New York,0.632,0.368,621535.0
517,Monroe County,Pennsylvania,0.61,0.39,140670.0
518,Montcalm County,Michigan,0.5670000000000001,0.433,56516.0
519,Monterey County,California,0.612,0.38799999999999996,339848.0
520,Montgomery County,Alabama,0.5920000000000001,0.408,178286.0
521,Montgomery County,Maryland,0.701,0.299,868371.0
522,Montgomery County,Ohio,0.6409999999999999,0.359,435415.0
523,Montgomery County,Pennsylvania,0.6809999999999999,0.319,720288.0
524,Montgomery County,Tennessee,0.701,0.299,188461.0
525,Montgomery County,Texas,0.66,0.34,582145.0
526,Montgomery County,Virginia,0.562,0.43799999999999994,86464.0
527,Moore County,North Carolina,0.5820000000000001,0.418,87384.0
528,Morgan County,Alabama,0.568,0.43200000000000005,100800.0
529,Morgan County,Indiana,0.591,0.409,60313.0
530,Morris County,New Jersey,0.688,0.312,429007.0
531,Multnomah County,Oregon,0.696,0.304,678651.0
532,Muscogee County,Georgia,0.605,0.395,157277.0
533,Muskegon County,Michigan,0.5870000000000001,0.413,143090.0
534,Muskingum County,Ohio,0.594,0.406,69188.0
535,Muskogee County,Oklahoma,0.523,0.47700000000000004,52285.0
536,Nacogdoches County,Texas,0.6409999999999999,0.359,52110.0
537,Napa County,California,0.63,0.37,111554.0
538,Nash County,North Carolina,0.628,0.37200000000000005,79588.0
539,Nassau County,Florida,0.597,0.40299999999999997,87512.0
540,Nassau County,New York,0.642,0.358,1133111.0
541,Natrona County,Wyoming,0.6579999999999999,0.342,65042.0
542,Naugatuck Valley Planning Region,Connecticut,0.652,0.348,381742.0
543,Navajo County,Arizona,0.484,0.516,85777.0
544,Nevada County,California,0.5760000000000001,0.424,86715.0
545,New Castle County,Delaware,0.66,0.34,480572.0
546,New Hanover County,North Carolina,0.669,0.331,206267.0
547,New York County,New York,0.677,0.32299999999999995,1464139.0
548,Newport County,Rhode Island,0.6509999999999999,0.349,73859.0
549,Newport News city,Virginia,0.6659999999999999,0.33399999999999996,145983.0
550,Newton County,Georgia,0.611,0.389,97467.0
551,Niagara County,New York,0.619,0.381,173951.0
552,Norfolk County,Massachusetts,0.7020000000000001,0.298,612296.0
553,Norfolk city,Virginia,0.6920000000000001,0.308,189464.0
554,Northampton County,Pennsylvania,0.653,0.34700000000000003,271591.0
555,Northeastern Connecticut Planning Region,Connecticut,0.6709999999999999,0.32899999999999996,82568.0
556,Northumberland County,Pennsylvania,0.588,0.41200000000000003,75319.0
557,Northwest Hills Planning Region,Connecticut,0.637,0.363,97796.0
558,Nueces County,Texas,0.616,0.384,281656.0
559,Oakland County,Michigan,0.6609999999999999,0.33899999999999997,1070299.0
560,Ocean County,New Jersey,0.596,0.40399999999999997,519030.0
561,Oconee County,South Carolina,0.574,0.426,69251.0
562,Okaloosa County,Florida,0.657,0.34299999999999997,176127.0
563,Oklahoma County,Oklahoma,0.6509999999999999,0.349,637268.0
564,Oldham County,Kentucky,0.632,0.368,55797.0
565,Olmsted County,Minnesota,0.713,0.287,131906.0
566,Oneida County,New York,0.588,0.41200000000000003,186829.0
567,Onondaga County,New York,0.617,0.38299999999999995,385780.0
568,Onslow County,North Carolina,0.6890000000000001,0.311,164950.0
569,Ontario County,New York,0.619,0.381,94805.0
570,Orange County,California,0.655,0.345,2614670.0
571,Orange County,Florida,0.6890000000000001,0.311,1251214.0
572,Orange County,New York,0.63,0.37,319470.0
573,Orange County,North Carolina,0.637,0.363,128225.0
574,Orange County,Texas,0.615,0.385,66758.0
575,Orangeburg County,South Carolina,0.579,0.42100000000000004,67385.0
576,Orleans Parish,Louisiana,0.616,0.384,299280.0
577,Osceola County,Florida,0.667,0.33299999999999996,373480.0
578,Oswego County,New York,0.603,0.397,97221.0
579,Otero County,New Mexico,0.544,0.456,56367.0
580,Ottawa County,Michigan,0.66,0.34,246711.0
581,Ouachita Parish,Louisiana,0.605,0.395,123946.0
582,Outagamie County,Wisconsin,0.672,0.32799999999999996,156928.0
583,Ozaukee County,Wisconsin,0.645,0.355,77284.0
584,Palm Beach County,Florida,0.61,0.39,1321754.0
585,Parker County,Texas,0.653,0.34700000000000003,141974.0
586,Pasco County,Florida,0.597,0.40299999999999997,543257.0
587,Passaic County,New Jersey,0.659,0.341,417133.0
588,Paulding County,Georgia,0.706,0.294,148409.0
589,Payne County,Oklahoma,0.644,0.35600000000000004,70391.0
590,Pender County,North Carolina,0.613,0.387,56782.0
591,Pennington County,South Dakota,0.677,0.32299999999999995,93640.0
592,Penobscot County,Maine,0.5920000000000001,0.408,133511.0
593,Peoria County,Illinois,0.635,0.365,141557.0
594,Philadelphia County,Pennsylvania,0.649,0.35100000000000003,1284295.0
595,Pickens County,South Carolina,0.57,0.43,117102.0
596,Pierce County,Washington,0.6629999999999999,0.337,754357.0
597,Pima County,Arizona,0.581,0.419,901343.0
598,Pinal County,Arizona,0.5479999999999999,0.452,418757.0
599,Pinellas County,Florida,0.598,0.402,840798.0
600,Pitt County,North Carolina,0.63,0.37,147508.0
601,Placer County,California,0.613,0.387,353049.0
602,Platte County,Missouri,0.693,0.307,90999.0
603,Plymouth County,Massachusetts,0.67,0.33,447420.0
604,Polk County,Florida,0.605,0.395,688067.0
605,Polk County,Iowa,0.7240000000000001,0.276,407539.0
606,Polk County,Oregon,0.584,0.41600000000000004,73722.0
607,Ponce Municipio,Puerto Rico,0.44,0.56,112589.0
608,Portage County,Ohio,0.6659999999999999,0.33399999999999996,138655.0
609,Portage County,Wisconsin,0.645,0.355,60657.0
610,Porter County,Indiana,0.634,0.366,143784.0
611,Portsmouth city,Virginia,0.623,0.377,76638.0
612,Pottawatomie County,Oklahoma,0.5660000000000001,0.434,59567.0
613,Pottawattamie County,Iowa,0.619,0.381,74384.0
614,Potter County,Texas,0.6,0.4,88316.0
615,Prince George's County,Maryland,0.6940000000000001,0.306,780290.0
616,Prince William County,Virginia,0.71,0.29,384962.0
617,Providence County,Rhode Island,0.659,0.341,558688.0
618,Pueblo County,Colorado,0.552,0.44799999999999995,138800.0
619,Pulaski County,Arkansas,0.628,0.37200000000000005,320815.0
620,Pulaski County,Kentucky,0.525,0.475,54558.0
621,Putnam County,Florida,0.508,0.49200000000000005,62413.0
622,Putnam County,New York,0.636,0.364,82309.0
623,Putnam County,Tennessee,0.596,0.40399999999999997,69459.0
624,Queens County,New York,0.628,0.37200000000000005,1926525.0
625,Racine County,Wisconsin,0.637,0.363,160178.0
626,Raleigh County,West Virginia,0.49200000000000005,0.508,59666.0
627,Ramsey County,Minnesota,0.674,0.326,433951.0
628,Randall County,Texas,0.6940000000000001,0.306,119860.0
629,Randolph County,North Carolina,0.606,0.39399999999999996,120178.0
630,Rankin County,Mississippi,0.662,0.33799999999999997,130467.0
631,Rapides Parish,Louisiana,0.599,0.401,97493.0
632,Rensselaer County,New York,0.636,0.364,133999.0
633,Rice County,Minnesota,0.624,0.376,56232.0
634,Richland County,Ohio,0.568,0.43200000000000005,100916.0
635,Richland County,South Carolina,0.637,0.363,351970.0
636,Richmond County,Georgia,0.618,0.382,165174.0
637,Richmond County,New York,0.612,0.38799999999999996,406806.0
638,Richmond city,Virginia,0.7040000000000001,0.29600000000000004,196903.0
639,Riley County,Kansas,0.727,0.273,63093.0
640,Riverside County,California,0.616,0.384,2016504.0
641,Roanoke County,Virginia,0.617,0.38299999999999995,81696.0
642,Roanoke city,Virginia,0.596,0.40399999999999997,81108.0
643,Robertson County,Tennessee,0.677,0.32299999999999995,61641.0
644,Robeson County,North Carolina,0.508,0.49200000000000005,91829.0
645,Rock County,Wisconsin,0.631,0.369,134583.0
646,Rock Island County,Illinois,0.604,0.396,114743.0
647,Rockdale County,Georgia,0.672,0.32799999999999996,77789.0
648,Rockingham County,New Hampshire,0.682,0.318,272738.0
649,Rockingham County,North Carolina,0.551,0.449,76806.0
650,Rockingham County,Virginia,0.648,0.35200000000000004,70585.0
651,Rockland County,New York,0.632,0.368,254362.0
652,Rockwall County,Texas,0.677,0.32299999999999995,106937.0
653,Rogers County,Oklahoma,0.618,0.382,81511.0
654,Ross County,Ohio,0.557,0.44299999999999995,62202.0
655,Rowan County,North Carolina,0.594,0.406,123884.0
656,Rutherford County,North Carolina,0.568,0.43200000000000005,54186.0
657,Rutherford County,Tennessee,0.731,0.26899999999999996,294430.0
658,Sacramento County,California,0.644,0.35600000000000004,1288575.0
659,Saginaw County,Michigan,0.595,0.405,153003.0
660,Salem County,New Jersey,0.623,0.377,53142.0
661,Saline County,Arkansas,0.598,0.402,105362.0
662,Salt Lake County,Utah,0.7240000000000001,0.276,961523.0
663,San Benito County,California,0.682,0.318,54374.0
664,San Bernardino County,California,0.624,0.376,1736945.0
665,San Diego County,California,0.664,0.336,2707550.0
666,San Francisco County,California,0.7,0.3,728981.0
667,San Joaquin County,California,0.618,0.382,637817.0
668,San Juan County,New Mexico,0.542,0.45799999999999996,96519.0
669,San Juan Municipio,Puerto Rico,0.523,0.47700000000000004,291686.0
670,San Luis Obispo County,California,0.573,0.42700000000000005,240396.0
671,San Mateo County,California,0.68,0.32,619646.0
672,San Patricio County,Texas,0.622,0.37799999999999995,55592.0
673,Sandoval County,New Mexico,0.615,0.385,130412.0
674,Sangamon County,Illinois,0.628,0.37200000000000005,157417.0
675,Santa Barbara County,California,0.62,0.38,358470.0
676,Santa Clara County,California,0.677,0.32299999999999995,1602626.0
677,Santa Cruz County,California,0.609,0.391,221927.0
678,Santa Fe County,New Mexico,0.579,0.42100000000000004,138051.0
679,Santa Rosa County,Florida,0.6,0.4,169329.0
680,Sarasota County,Florida,0.493,0.507,418336.0
681,Saratoga County,New York,0.6509999999999999,0.349,201570.0
682,Sarpy County,Nebraska,0.732,0.268,159416.0
683,Sauk County,Wisconsin,0.648,0.35200000000000004,54086.0
684,Schenectady County,New York,0.648,0.35200000000000004,132058.0
685,Schuylkill County,Pennsylvania,0.5870000000000001,0.413,120046.0
686,Scioto County,Ohio,0.523,0.47700000000000004,59044.0
687,Scott County,Iowa,0.654,0.34600000000000003,140937.0
688,Scott County,Minnesota,0.757,0.243,123535.0
689,Sebastian County,Arkansas,0.619,0.381,103405.0
690,Sedgwick County,Kansas,0.6629999999999999,0.337,421192.0
691,Seminole County,Florida,0.6609999999999999,0.33899999999999997,409659.0
692,Sevier County,Tennessee,0.633,0.36700000000000005,83664.0
693,Shasta County,California,0.5720000000000001,0.428,146867.0
694,Shawnee County,Kansas,0.653,0.34700000000000003,142940.0
695,Sheboygan County,Wisconsin,0.64,0.36,96765.0
696,Shelby County,Alabama,0.6729999999999999,0.327,189764.0
697,Shelby County,Tennessee,0.644,0.35600000000000004,709731.0
698,Sherburne County,Minnesota,0.736,0.264,80539.0
699,Shiawassee County,Michigan,0.611,0.389,56378.0
700,Skagit County,Washington,0.597,0.40299999999999997,108685.0
701,Smith County,Texas,0.645,0.355,197653.0
702,Snohomish County,Washington,0.674,0.326,700410.0
703,Solano County,California,0.611,0.389,369504.0
704,Somerset County,New Jersey,0.71,0.29,293719.0
705,Somerset County,Pennsylvania,0.534,0.466,60593.0
706,Sonoma County,California,0.634,0.366,407679.0
707,South Central Connecticut Planning Region,Connecticut,0.649,0.35100000000000003,480721.0
708,Southeastern Connecticut Planning Region,Connecticut,0.649,0.35100000000000003,236727.0
709,Spalding County,Georgia,0.544,0.456,56312.0
710,Spartanburg County,South Carolina,0.628,0.37200000000000005,293818.0
711,Spokane County,Washington,0.624,0.376,452659.0
712,Spotsylvania County,Virginia,0.684,0.316,120111.0
713,St. Charles County,Missouri,0.6890000000000001,0.311,343216.0
714,St. Clair County,Alabama,0.5770000000000001,0.423,78086.0
715,St. Clair County,Illinois,0.652,0.348,201573.0
716,St. Clair County,Michigan,0.618,0.382,133212.0
717,St. Croix County,Wisconsin,0.688,0.312,78963.0
718,St. Francois County,Missouri,0.523,0.47700000000000004,55411.0
719,St. Johns County,Florida,0.612,0.38799999999999996,274587.0
720,St. Joseph County,Indiana,0.638,0.36200000000000004,218623.0
721,St. Landry Parish,Louisiana,0.5529999999999999,0.447,62074.0
722,St. Lawrence County,New York,0.541,0.45899999999999996,88382.0
723,St. Louis County,Minnesota,0.616,0.384,168798.0
724,St. Louis County,Missouri,0.653,0.34700000000000003,805245.0
725,St. Louis city,Missouri,0.672,0.32799999999999996,234852.0
726,St. Lucie County,Florida,0.57,0.43,324553.0
727,St. Mary's County,Maryland,0.68,0.32,92002.0
728,St. Tammany Parish,Louisiana,0.629,0.371,220609.0
729,Stafford County,Virginia,0.711,0.289,130354.0
730,Stanislaus County,California,0.621,0.379,430026.0
731,Stanly County,North Carolina,0.59,0.41,54936.0
732,Stark County,Ohio,0.614,0.386,303600.0
733,Starr County,Texas,0.5539999999999999,0.446,47984.0
734,Stearns County,Minnesota,0.708,0.292,129713.0
735,Steuben County,New York,0.578,0.42200000000000004,75242.0
736,Story County,Iowa,0.6729999999999999,0.327,87863.0
737,Strafford County,New Hampshire,0.6829999999999999,0.317,114629.0
738,Suffolk County,Massachusetts,0.695,0.305,683616.0
739,Suffolk County,New York,0.6509999999999999,0.349,1259406.0
740,Suffolk city,Virginia,0.655,0.345,81825.0
741,Sullivan County,New York,0.594,0.406,65131.0
742,Sullivan County,Tennessee,0.565,0.435,136663.0
743,Summit County,Ohio,0.639,0.361,442814.0
744,Sumner County,Tennessee,0.675,0.325,169389.0
745,Sumter County,Florida,0.256,0.7440000000000001,145183.0
746,Sumter County,South Carolina,0.591,0.409,83218.0
747,Surry County,North Carolina,0.588,0.41200000000000003,58482.0
748,Sussex County,Delaware,0.5479999999999999,0.452,229329.0
749,Sussex County,New Jersey,0.682,0.318,122984.0
750,Sutter County,California,0.607,0.39299999999999996,77458.0
751,Talladega County,Alabama,0.519,0.48100000000000004,65924.0
752,Tangipahoa Parish,Louisiana,0.636,0.364,109465.0
753,Tarrant County,Texas,0.685,0.315,1748305.0
754,Taylor County,Texas,0.643,0.35700000000000004,117415.0
755,Tazewell County,Illinois,0.624,0.376,105753.0
756,Tehama County,California,0.563,0.43700000000000006,51578.0
757,Terrebonne Parish,Louisiana,0.629,0.371,81655.0
758,Thurston County,Washington,0.615,0.385,249627.0
759,Tippecanoe County,Indiana,0.653,0.34700000000000003,158027.0
760,Toa Alta Municipio,Puerto Rico,0.56,0.44,57931.0
761,Toa Baja Municipio,Puerto Rico,0.581,0.419,62334.0
762,Tom Green County,Texas,0.659,0.341,95956.0
763,Tompkins County,New York,0.604,0.396,93124.0
764,Tooele County,Utah,0.7070000000000001,0.293,62964.0
765,Travis County,Texas,0.737,0.263,1128615.0
766,Troup County,Georgia,0.601,0.39899999999999997,55566.0
767,Trujillo Alto Municipio,Puerto Rico,0.48100000000000004,0.519,58954.0
768,Trumbull County,Ohio,0.5670000000000001,0.433,163832.0
769,Tulare County,California,0.635,0.365,361833.0
770,Tulsa County,Oklahoma,0.6609999999999999,0.33899999999999997,543367.0
771,Tuscaloosa County,Alabama,0.631,0.369,198348.0
772,Tuscarawas County,Ohio,0.626,0.374,73275.0
773,Twin Falls County,Idaho,0.677,0.32299999999999995,74576.0
774,Ulster County,New York,0.591,0.409,157758.0
775,Umatilla County,Oregon,0.623,0.377,63844.0
776,Union County,New Jersey,0.7,0.3,469907.0
777,Union County,North Carolina,0.69,0.31,206877.0
778,Union County,Ohio,0.6759999999999999,0.324,57461.0
779,Utah County,Utah,0.72,0.28,546198.0
780,Valencia County,New Mexico,0.555,0.445,64970.0
781,Van Buren County,Michigan,0.627,0.373,61161.0
782,Van Zandt County,Texas,0.5579999999999999,0.442,51906.0
783,Vanderburgh County,Indiana,0.636,0.364,146209.0
784,Ventura County,California,0.647,0.353,682947.0
785,Vermilion County,Illinois,0.584,0.41600000000000004,57036.0
786,Victoria County,Texas,0.62,0.38,72087.0
787,Vigo County,Indiana,0.5579999999999999,0.442,86970.0
788,Virginia Beach city,Virginia,0.6809999999999999,0.319,368717.0
789,Volusia County,Florida,0.5529999999999999,0.447,510916.0
790,Wagoner County,Oklahoma,0.619,0.381,72440.0
791,Wake County,North Carolina,0.703,0.297,993134.0
792,Walker County,Alabama,0.522,0.478,51877.0
793,Walker County,Georgia,0.591,0.409,57203.0
794,Walker County,Texas,0.47,0.53,72811.0
795,Waller County,Texas,0.645,0.355,50974.0
796,Walton County,Florida,0.604,0.396,72671.0
797,Walton County,Georgia,0.62,0.38,87103.0
798,Walworth County,Wisconsin,0.6759999999999999,0.324,89048.0
799,Ward County,North Dakota,0.6779999999999999,0.322,54457.0
800,Warren County,Kentucky,0.6629999999999999,0.337,119192.0
801,Warren County,New Jersey,0.6729999999999999,0.327,94561.0
802,Warren County,New York,0.5710000000000001,0.429,55821.0
803,Warren County,Ohio,0.675,0.325,204853.0
804,Warrick County,Indiana,0.628,0.37200000000000005,53459.0
805,Washington County,Arkansas,0.644,0.35600000000000004,213094.0
806,Washington County,Maryland,0.598,0.402,127663.0
807,Washington County,Minnesota,0.6890000000000001,0.311,225686.0
808,Washington County,Oregon,0.693,0.307,499735.0
809,Washington County,Pennsylvania,0.603,0.397,175704.0
810,Washington County,Rhode Island,0.605,0.395,113313.0
811,Washington County,Tennessee,0.609,0.391,117501.0
812,Washington County,Utah,0.5760000000000001,0.424,165155.0
813,Washington County,Wisconsin,0.669,0.331,113717.0
814,Washoe County,Nevada,0.674,0.326,418747.0
815,Washtenaw County,Michigan,0.634,0.366,316407.0
816,Waukesha County,Wisconsin,0.665,0.335,341834.0
817,Wayne County,Indiana,0.5770000000000001,0.423,52538.0
818,Wayne County,Michigan,0.594,0.406,1408090.0
819,Wayne County,New York,0.615,0.385,74925.0
820,Wayne County,North Carolina,0.613,0.387,95434.0
821,Wayne County,Ohio,0.586,0.414,91762.0
822,Webb County,Texas,0.655,0.345,199932.0
823,Weber County,Utah,0.6890000000000001,0.311,214010.0
824,Weld County,Colorado,0.705,0.295,289307.0
825,Westchester County,New York,0.653,0.34700000000000003,823965.0
826,Western Connecticut Planning Region,Connecticut,0.69,0.31,515821.0
827,Westmoreland County,Pennsylvania,0.599,0.401,296648.0
828,Whatcom County,Washington,0.649,0.35100000000000003,198808.0
829,White County,Arkansas,0.585,0.415,64231.0
830,Whitfield County,Georgia,0.622,0.37799999999999995,84006.0
831,Wichita County,Texas,0.649,0.35100000000000003,104394.0
832,Wicomico County,Maryland,0.665,0.335,86770.0
833,Wilkes County,North Carolina,0.54,0.46,55055.0
834,Will County,Illinois,0.675,0.325,569675.0
835,Williamson County,Illinois,0.615,0.385,54817.0
836,Williamson County,Tennessee,0.6729999999999999,0.327,210903.0
837,Williamson County,Texas,0.71,0.29,577897.0
838,Wilson County,North Carolina,0.613,0.387,64453.0
839,Wilson County,Tennessee,0.685,0.315,135050.0
840,Winnebago County,Illinois,0.629,0.371,226697.0
841,Winnebago County,Wisconsin,0.644,0.35600000000000004,143566.0
842,Wise County,Texas,0.654,0.34600000000000003,63512.0
843,Wood County,Ohio,0.655,0.345,109580.0
844,Wood County,West Virginia,0.5539999999999999,0.446,68232.0
845,Wood County,Wisconsin,0.635,0.365,60476.0
846,Woodbury County,Iowa,0.682,0.318,83368.0
847,Worcester County,Massachusetts,0.667,0.33299999999999996,726244.0
848,Wright County,Minnesota,0.732,0.268,119082.0
849,Wyandotte County,Kansas,0.6990000000000001,0.301,129118.0
850,Yakima County,Washington,0.615,0.385,194144.0
851,Yamhill County,Oregon,0.625,0.375,91228.0
852,Yavapai County,Arizona,0.48200000000000004,0.518,219748.0
853,Yellowstone County,Montana,0.66,0.34,138165.0
854,Yolo County,California,0.6,0.4,187615.0
855,York County,Maine,0.644,0.35600000000000004,187385.0
856,York County,Pennsylvania,0.649,0.35100000000000003,382826.0
857,York County,South Carolina,0.696,0.304,241634.0
858,York County,Virginia,0.638,0.36200000000000004,57375.0
859,Yuba County,California,0.64,0.36,65313.0
860,Yuma County,Arizona,0.517,0.483,174929.0
