,county,state,In labor force,Not in labor force,Population 16 years and over
108,Cameron County,Texas,0.583,0.41700000000000004,326930.0
109,Campbell County,Kentucky,0.667,0.33299999999999996,77333.0
110,Canadian County,Oklahoma,0.6829999999999999,0.317,142375.0
111,Canyon County,Idaho,0.665,0.335,206330.0
112,Cape Girardeau County,Missouri,0.6579999999999999,0.342,67580.0
113,Cape May County,New Jersey,0.599,0.401,80473.0
114,Capitol Planning Region,Connecticut,0.665,0.335,821958.0
115,Carbon County,Pennsylvania,0.603,0.397,55270.0
116,Carolina Municipio,Puerto Rico,0.5379999999999999,0.462,132309.0
117,Carroll County,Georgia,0.633,0.36700000000000005,103457.0
118,Carroll County,Maryland,0.664,0.336,143624.0
119,Carteret County,North Carolina,0.54,0.46,60713.0
120,Carver County,Minnesota,0.7340000000000001,0.266,88891.0
121,Cascade County,Montana,0.638,0.36200000000000004,68184.0
122,Cass County,Missouri,0.6609999999999999,0.33899999999999997,92376.0
123,Cass County,North Dakota,0.741,0.259,162125.0
124,Catawba County,North Carolina,0.583,0.41700000000000004,136037.0
125,Catoosa County,Georgia,0.626,0.374,57249.0
126,Cattaraugus County,New York,0.552,0.44799999999999995,61719.0
127,Cayuga County,New York,0.584,0.41600000000000004,62420.0
128,Cecil County,Maryland,0.6559999999999999,0.344,86275.0
129,Centre County,Pennsylvania,0.5770000000000001,0.423,140084.0
130,Champaign County,Illinois,0.615,0.385,177986.0
131,Charles County,Maryland,0.708,0.292,139167.0
132,Charleston County,South Carolina,0.6629999999999999,0.337,357666.0
133,Charlotte County,Florida,0.433,0.5670000000000001,191211.0
134,Chatham County,Georgia,0.647,0.353,253787.0
135,Chatham County,North Carolina,0.5589999999999999,0.441,71156.0
136,Chautauqua County,New York,0.5760000000000001,0.424,101592.0
137,Chelan County,Washington,0.608,0.392,64797.0
138,Chemung County,New York,0.5760000000000001,0.424,66768.0
139,Cherokee County,Georgia,0.675,0.325,238893.0
140,Chesapeake city,Virginia,0.6459999999999999,0.354,201186.0
141,Cheshire County,New Hampshire,0.613,0.387,66619.0
142,Chester County,Pennsylvania,0.667,0.33299999999999996,456940.0
143,Chesterfield County,Virginia,0.6759999999999999,0.324,310711.0
144,Chippewa County,Wisconsin,0.632,0.368,55542.0
145,Chittenden County,Vermont,0.701,0.299,147232.0
146,Christian County,Kentucky,0.639,0.361,51925.0
147,Christian County,Missouri,0.6459999999999999,0.354,75711.0
148,Citrus County,Florida,0.41600000000000004,0.584,148822.0
149,Clackamas County,Oregon,0.642,0.358,350584.0
150,Clallam County,Washington,0.491,0.509,67063.0
151,Clark County,Indiana,0.665,0.335,103225.0
152,Clark County,Nevada,0.6559999999999999,0.344,1944663.0
153,Clark County,Ohio,0.586,0.414,109195.0
154,Clark County,Washington,0.645,0.355,426858.0
155,Clarke County,Georgia,0.6409999999999999,0.359,110702.0
156,Clay County,Florida,0.633,0.36700000000000005,190941.0
157,Clay County,Minnesota,0.726,0.27399999999999997,54316.0
158,Clay County,Missouri,0.6920000000000001,0.308,210291.0
159,Clayton County,Georgia,0.662,0.33799999999999997,231388.0
160,Clearfield County,Pennsylvania,0.535,0.465,65711.0
161,Clermont County,Ohio,0.647,0.353,174885.0
162,Cleveland County,North Carolina,0.5579999999999999,0.442,82591.0
163,Cleveland County,Oklahoma,0.642,0.358,251907.0
164,Clinton County,Michigan,0.632,0.368,65152.0
165,Clinton County,New York,0.586,0.414,66022.0
166,Cobb County,Georgia,0.696,0.304,638158.0
