yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
20222024,2022,2024,CO0438000,CO0438000,,N,N,,I,DELTA MONTROSE DRUG TSK,DELTA MONTROSE DRUG TSK,Delta Montrose Drug Task Force,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,Other,0,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,0,0,0,0,0,0,0,0,1992-01-01,2009-01-01,2010-12-01,2014-02-01,2016-01-01,2013-04-01,N,MONTROSE,Not Specified,Y,Y,Y
20232024,2023,2024,CO0440000,CO0440000,,N,N,,I,MORGAN,MORGAN,Morgan,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,County,10262,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,15,14,29,3,17,20,1.8,4.8,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,MORGAN,Not Specified,Y,Y,Y
20242024,2024,2024,CO0440100,CO0440100,,N,N,,I,BRUSH,BRUSH,Brush,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,5247,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,3,5,8,1.7,2.7,1992-01-01,1997-01-01,2003-03-01,2014-02-01,2016-01-01,2013-04-01,N,MORGAN,Not Specified,Y,Y,Y
20252024,2025,2024,CO0440200,CO0440200,,N,N,,I,FORT MORGAN,FORT MORGAN,Fort Morgan,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,11567,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,29,1,30,1,6,7,2.6,3.2,1992-01-01,2002-01-01,2003-11-01,2014-02-01,2016-01-01,2013-04-01,N,MORGAN,Not Specified,Y,Y,Y
20262024,2026,2024,CO0440300,CO0440300,,N,N,,I,WIGGINS,WIGGINS,Wiggins,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,1937,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,0,0,1.5,1.5,1992-01-01,2005-01-01,2005-03-01,2022-02-01,2022-02-01,2022-02-01,N,MORGAN,Not Specified,Y,Y,Y
20292024,2029,2024,CO0450000,CO0450000,,N,N,,I,OTERO,OTERO,Otero,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,County,5840,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,9,5,14,0,5,5,1.5,3.3,1992-01-01,1997-01-01,2005-11-01,2014-03-01,2016-01-01,2013-04-01,N,OTERO,Not Specified,Y,Y,Y
20302024,2030,2024,CO0450100,CO0450100,,N,N,,I,LA JUNTA,LA JUNTA,La Junta,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,6942,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,15,1,16,0,0,0,2.2,2.3,1992-01-01,1995-08-01,2003-03-01,2014-04-01,2016-01-01,2014-02-01,N,OTERO,Not Specified,Y,Y,Y
20312024,2031,2024,CO0450200,CO0450200,,N,N,,I,ROCKY FORD,ROCKY FORD,Rocky Ford,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,3803,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,1,7,1,1,2,1.8,2.4,1992-01-01,1997-01-01,2003-03-01,2014-05-01,2016-01-01,2013-04-01,N,OTERO,Not Specified,Y,Y,Y
20332024,2033,2024,CO0450400,CO0450400,,N,N,,I,FOWLER,FOWLER,Fowler,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,City,1196,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,0,0,0,1,1,2,0.8,1.7,1992-01-01,2012-01-01,2012-07-01,2014-06-01,2016-01-01,2014-02-01,N,OTERO,Not Specified,Y,Y,Y
20342024,2034,2024,CO0460000,CO0460000,,N,N,,I,OURAY,OURAY,Ouray,,A,7,Colorado,CO,CO,8,Mountain,4,West,Region IV,County,3124,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,11,0,11,1,1,2,3.8,4.2,1992-01-01,1996-05-01,1996-05-01,2021-02-01,2021-02-01,2021-02-01,N,OURAY,Not Specified,Y,Y,Y
