data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,12,195107173,0.230,1,19334551
2024,12,195107445,12.950,1,19334575
2024,12,195107524,7.490,1,19334582
2024,12,195107222,0.540,1,19334553
2024,16,195107441,1.000,9,19334574
2024,12,195107494,4.230,1,19334581
2024,12,195107336,1.460,1,19334563
2024,16,195107238,0.900,1,19334556
2024,12,195107231,1.480,1,19334554
2024,12,195107181,8.420,1,19334552
2024,12,195107257,1.260,1,19334559
2024,12,195107426,54.490,1,19334572
2024,12,195107373,0.960,1,19334569
2024,12,195107299,1.000,1,19334561
2024,2,195107233,0.670,1,19334555
2024,12,195107273,0.530,1,19334560
2024,8,195107418,41.000,9,19334570
2024,12,195107418,0.310,1,19334571
2024,1,195107473,0.280,1,19334578
2024,12,195107473,5.120,1,19334579
2024,15,195107473,0.750,1,19334580
2024,7,195107535,3.670,1,19334583
2024,12,195107317,1.060,1,19334562
2024,8,196807368,10.660,1,19563405
2024,12,196807368,0.720,1,19563406
2024,12,196811048,1.590,1,19563767
2024,12,196807345,0.680,1,19563400
2024,16,196807345,3.420,1,19563401
2024,12,196810115,2.400,1,19563714
2024,16,196807404,2.000,9,19563414
2024,12,196810191,14.500,1,19563719
2024,12,196807412,0.460,1,19563416
2024,8,196810133,19.000,9,19563716
2024,12,196809058,2.140,1,19563630
2024,12,196810996,0.350,1,19563762
2024,5,196807442,1.000,11,19563420
2024,12,196810046,0.620,1,19563712
2024,8,196806241,0.100,1,19563304
2024,16,196807400,9.050,1,19563413
2024,12,196809038,0.241,1,19563628
2024,7,196807326,0.410,1,19563398
2024,12,196807326,4.720,1,19563399
2024,12,196806353,0.980,1,19563312
2024,12,196810121,0.200,1,19563715
2024,2,196807376,0.130,1,19563408
2024,2,196807422,0.330,1,19563419
2024,12,196811070,0.320,1,19563769
2024,12,196806289,20.840,1,19563307
2024,1,196808973,11.790,1,19563625
2024,8,196808973,14.390,1,19563626
2024,8,196807421,3.450,1,19563417
2024,12,196807421,0.580,1,19563418
2024,16,196810185,7.000,9,19563718
2024,12,196809045,0.180,1,19563629
2024,1,196811015,0.510,1,19563763
2024,2,196811015,3.420,1,19563764
2024,12,196811015,4.010,1,19563765
2024,12,196810086,0.800,1,19563713
2024,2,196809084,0.050,1,19563635
2024,2,196806394,3.220,1,19563313
2024,8,196806394,4.800,1,19563314
2024,12,196806394,0.840,1,19563315
2024,7,196807408,0.100,1,19563415
2024,5,196807379,0.040,1,19563410
2024,16,196811021,1.160,1,19563766
2024,8,198666274,14.510,1,19839931
2024,12,198666274,0.390,1,19839932
2024,12,196809031,4.130,1,19563627
2024,12,196807359,0.120,1,19563402
2024,16,196807359,1.720,1,19563403
2024,12,196814300,98.550,1,19564083
2024,12,196814280,3.250,1,19564078
2024,12,196814256,0.280,1,19564077
2024,7,196813402,3.370,1,19563964
2024,12,196813358,54.510,1,19563961
2024,16,196816925,0.110,1,19564377
2024,8,196813649,0.350,1,19563980
2024,12,196813649,13.160,1,19563981
2024,2,196816897,0.220,1,19564374
2024,12,196813437,15.830,1,19563965
2024,7,196813816,0.110,1,19563996
2024,16,196814329,0.100,1,19564084
2024,12,196813743,0.400,1,19563992
2024,12,196811109,9.040,1,19563771
2024,12,196814282,48.880,1,19564079
2024,16,196814282,7.310,1,19564080
2024,8,196813445,14.000,9,19563966
2024,2,196813327,0.120,1,19563958
2024,12,196813327,0.220,1,19563959
2024,12,196816843,0.290,1,19564368
2024,2,196813727,1.350,1,19563986
2024,15,196813727,27.280,1,19563987
2024,16,196813727,54.500,1,19563988
2024,7,196817040,4.580,1,19564390
2024,12,196813396,0.810,1,19563963
2024,12,196816943,0.520,1,19564378
2024,8,196813835,2.000,9,19563998
2024,8,196811107,0.540,1,19563770
2024,12,196813786,0.060,1,19563995
2024,12,196814293,1.610,1,19564081
2024,16,196814293,0.700,1,19564082
2024,16,197125979,13.340,1,19610490
2024,4,196813455,0.650,1,19563967
2024,12,196813455,0.420,1,19563968
