data_year,weapon_id,offense_id,nibrs_weapon_id
2024,21,234214685,
2024,41,234209224,
2024,41,234209155,
2024,41,234209349,
2024,38,234209173,
2024,1,234210385,
2024,5,234209880,
2024,21,234209869,
2024,41,234214674,
2024,5,244376621,
2024,21,244376621,
2024,39,234209354,
2024,5,234209470,
2024,41,234477516,
2024,5,234209859,
2024,1,234209329,
2024,41,234209885,
2024,21,234214688,
2024,41,234209240,
2024,41,234214131,
2024,31,234212660,
2024,41,234209258,
2024,41,234209282,
2024,41,234209310,
2024,41,234209395,
2024,41,234209213,
2024,41,234209367,
2024,32,234210935,
2024,21,234651559,
2024,41,234210704,
2024,5,234209415,
2024,41,234214477,
2024,41,234209851,
2024,41,234209259,
2024,41,234209100,
2024,5,234214453,
2024,39,234209217,
2024,5,234214682,
2024,41,234209254,
2024,39,235124292,
2024,5,234209119,
2024,41,234209303,
2024,41,234213471,
2024,41,234209300,
2024,31,234209910,
2024,39,234209256,
2024,41,234211486,
2024,41,234214683,
2024,21,234209189,
2024,41,234214437,
2024,38,234212603,
2024,41,234214690,
2024,41,234210297,
2024,41,234209876,
2024,39,234209210,
2024,21,234209363,
2024,1,234209874,
2024,38,234213007,
2024,5,234211088,
2024,1,246854032,
2024,31,234209236,
2024,41,234209208,
2024,21,234209323,
2024,41,234212496,
2024,41,234643187,
2024,5,244376613,
2024,38,234214673,
2024,41,234209179,
2024,9,234209944,
2024,41,234209234,
2024,41,234214679,
2024,41,234209264,
2024,41,234209265,
2024,38,234209431,
2024,31,234209448,
2024,38,234209211,
2024,38,234209257,
2024,39,234209098,
2024,39,234209112,
2024,41,235875840,
2024,41,234785565,
2024,38,234785421,
2024,5,234785586,
2024,41,234785632,
2024,21,234785512,
2024,41,234785606,
2024,5,234785626,
2024,41,234786610,
2024,41,234786611,
2024,41,234785621,
2024,41,234785420,
2024,41,234785614,
2024,41,234786607,
2024,41,234785630,
2024,21,234785478,
2024,41,234785523,
2024,41,234785567,
2024,41,234785562,
2024,38,234785556,
2024,5,234785557,
2024,21,234785644,
2024,21,234785645,
2024,41,234785609,
2024,41,235070390,
2024,1,235875841,
2024,41,234785475,
2024,1,234785638,
2024,41,234785528,
2024,39,237214802,
2024,39,234785642,
2024,42,234785533,
2024,1,234785447,
2024,41,234785509,
2024,41,234785510,
2024,41,235066659,
2024,1,234785511,
2024,21,234786602,
2024,1,234785413,
2024,41,234785625,
2024,21,234785481,
2024,42,234785502,
2024,1,234785596,
2024,5,234785598,
2024,39,234785406,
2024,5,234985688,
