data_year,groupb_arrestee_id,weapon_code,weapon_id
2024,54459749,01,51
2024,54459753,01,51
2024,54459754,01,51
2024,54459760,01,51
2024,54459750,01,51
2024,54459757,01,51
2024,54459748,01,51
2024,54459751,01,51
2024,54459752,01,51
2024,54459756,01,51
2024,54459759,01,51
2024,54459765,01,51
2024,54459769,01,51
2024,54459775,01,51
2024,54459776,01,51
2024,54459777,01,51
2024,54459786,01,51
2024,54459792,01,51
2024,54459758,01,51
2024,54459761,01,51
2024,54459763,01,51
2024,54459766,01,51
2024,54459767,01,51
2024,54459770,01,51
2024,54459771,01,51
2024,54459762,01,51
2024,54459764,01,51
2024,54459768,01,51
2024,54459773,01,51
2024,54459778,01,51
2024,54459779,01,51
2024,54459780,01,51
2024,54459782,01,51
2024,54459783,01,51
2024,54459784,01,51
2024,54459787,01,51
2024,54459788,01,51
2024,54459772,01,51
2024,54459774,01,51
2024,54459781,01,51
2024,54459785,01,51
2024,54459789,01,51
2024,54459790,01,51
2024,54459791,01,51
2024,54459795,01,51
2024,54459793,01,51
2024,54459796,01,51
2024,54459797,01,51
2024,54459819,01,51
2024,54459820,01,51
2024,54459821,01,51
2024,54459826,01,51
2024,54459830,01,51
2024,54459833,01,51
2024,54459835,01,51
2024,54459837,01,51
2024,54459839,01,51
2024,54459841,01,51
2024,54459843,01,51
2024,54459854,01,51
2024,54459856,01,51
2024,54459863,01,51
2024,54459865,01,51
2024,54459867,01,51
2024,54459868,01,51
2024,54459874,01,51
2024,54459878,01,51
2024,54459822,01,51
2024,54459825,01,51
2024,54459827,01,51
2024,54459828,01,51
2024,54459832,01,51
2024,54459836,01,51
2024,54459838,01,51
2024,54459842,01,51
2024,54459846,01,51
2024,54459847,01,51
2024,54459849,01,51
2024,54459851,01,51
2024,54459852,01,51
2024,54459855,01,51
2024,54459857,01,51
2024,54459858,01,51
2024,54459860,01,51
2024,54459864,01,51
2024,54459866,01,51
2024,54459869,01,51
2024,54459872,01,51
2024,54459875,01,51
2024,54459877,01,51
2024,54459884,01,51
2024,54459886,01,51
2024,54459888,01,51
2024,54459823,01,51
2024,54459824,01,51
2024,54459829,01,51
2024,54459831,01,51
2024,54459834,01,51
2024,54459840,01,51
2024,54459844,01,51
2024,54459845,01,51
2024,54459848,01,51
2024,54459850,01,51
2024,54459853,01,51
2024,54459859,01,51
2024,54459861,01,51
2024,54459862,01,51
2024,54459870,01,51
2024,54459871,01,51
2024,54459873,01,51
2024,54459876,01,51
2024,54459879,01,51
2024,54459880,01,51
2024,54459882,01,51
2024,54459889,01,51
2024,54459890,01,51
2024,54459881,01,51
2024,54459883,01,51
2024,54459885,01,51
2024,54459887,01,51
2024,54459894,01,51
2024,54459899,01,51
2024,54459900,01,51
2024,54459911,01,51
2024,54459914,01,51
2024,54459920,01,51
2024,54459923,01,51
2024,54459927,01,51
2024,54459928,01,51
2024,54459891,01,51
2024,54459893,01,51
2024,54459896,01,51
2024,54459910,01,51
2024,54459892,01,51
2024,54459895,01,51
2024,54459897,01,51
2024,54459898,01,51
2024,54459907,01,51
2024,54459908,01,51
2024,54459909,01,51
2024,54459913,01,51
2024,54459918,01,51
2024,54459919,01,51
2024,54459922,01,51
2024,54459925,01,51
2024,54459929,01,51
2024,54459932,01,51
2024,54459934,01,51
2024,54459939,01,51
2024,54459912,01,51
2024,54459915,01,51
2024,54459916,01,51
2024,54459917,01,51
2024,54459921,01,51
2024,54459924,01,51
2024,54459926,01,51
2024,54459930,01,51
2024,54459935,01,51
2024,54459936,01,51
2024,54459941,01,51
2024,54459942,01,51
2024,54459943,01,51
2024,54459944,01,51
2024,54459947,01,51
2024,54459949,01,51
2024,54459951,01,51
2024,54459954,01,51
2024,54459955,01,51
2024,54459958,01,51
2024,54459931,01,51
2024,54459933,01,51
2024,54459937,01,51
2024,54459938,01,51
2024,54459940,01,51
2024,54459946,01,51
2024,54459948,01,51
2024,54459952,01,51
2024,54459957,01,51
2024,54459959,01,51
2024,54459962,01,51
2024,54459964,01,51
2024,54459966,01,51
2024,54459968,01,51
2024,54459945,01,51
2024,54459950,01,51
2024,54459953,01,51
2024,54459956,01,51
2024,54459961,01,51
2024,54459963,01,51
2024,54459965,01,51
2024,54459971,01,51
2024,54459974,01,51
2024,54459981,01,51
2024,54459984,01,51
2024,54459993,01,51
2024,54459995,01,51
2024,54459999,01,51
2024,54459960,01,51
2024,54459967,01,51
2024,54459970,01,51
2024,54459972,01,51
2024,54459973,01,51
2024,54459975,01,51
2024,54459976,01,51
2024,54459978,01,51
2024,54459982,01,51
2024,54459986,01,51
2024,54459987,01,51
2024,54459989,01,51
2024,54459969,01,51
2024,54459977,01,51
2024,54459980,01,51
2024,54459983,01,51
2024,54459985,01,51
2024,54459988,01,51
2024,54459990,01,51
2024,54459994,01,51
2024,54459996,01,51
2024,54460000,01,51
2024,54459991,01,51
2024,54459992,01,51
2024,54459997,01,51
2024,54459998,01,51
2024,53852261,01,51
2024,53852480,01,51
2024,54474025,01,51
2024,54474027,01,51
2024,54474029,01,51
2024,54474031,01,51
2024,54474033,01,51
2024,54474035,01,51
2024,54474037,01,51
2024,54474040,01,51
2024,54474042,01,51
2024,54474048,01,51
2024,54474049,01,51
2024,54474050,01,51
2024,54474053,01,51
2024,54474083,01,51
2024,54474087,01,51
2024,54474089,01,51
2024,54474098,01,51
2024,54474107,01,51
2024,54474020,01,51
2024,54474024,01,51
2024,54474032,01,51
2024,54474038,01,51
2024,54474041,01,51
2024,54474044,01,51
2024,54474052,01,51
2024,54474055,01,51
2024,54474068,01,51
2024,54474080,01,51
2024,54474088,01,51
2024,54474099,01,51
2024,54474109,01,51
2024,54474118,01,51
2024,54474119,01,51
2024,54474121,01,51
2024,54474128,01,51
2024,54474139,01,51
2024,54474149,01,51
2024,54474154,01,51
2024,54474157,01,51
2024,54474163,01,51
2024,54474169,01,51
2024,54474173,01,51
2024,54474178,01,51
2024,54474184,01,51
2024,54474185,01,51
2024,54474021,01,51
2024,54474022,01,51
2024,54474023,01,51
2024,54474026,01,51
2024,54474028,01,51
2024,54474030,01,51
2024,54474034,01,51
2024,54474036,01,51
2024,54474043,01,51
2024,54474045,01,51
2024,54474046,01,51
2024,54474047,01,51
2024,54474051,01,51
2024,54474054,01,51
2024,54474056,01,51
2024,54474057,01,51
2024,54474058,01,51
2024,54474059,01,51
2024,54474063,01,51
2024,54474069,01,51
2024,54474081,01,51
2024,54474082,01,51
2024,54474084,01,51
2024,54474096,01,51
2024,54474097,01,51
2024,54474100,01,51
2024,54474108,01,51
2024,54474061,01,51
2024,54474067,01,51
2024,54474075,01,51
2024,54474078,01,51
2024,54474085,01,51
2024,54474090,01,51
2024,54474094,01,51
2024,54474102,01,51
2024,54474105,01,51
2024,54474062,01,51
2024,54474072,01,51
2024,54474073,01,51
2024,54474074,01,51
2024,54474086,01,51
