data_year,victim_id,injury_id
2024,219740201,4
2024,219734871,4
2024,219734810,4
2024,219734990,4
2024,219734826,5
2024,219735520,5
2024,219735510,5
2024,219735511,5
2024,219740189,4
2024,219740190,4
2024,219734994,5
2024,219998609,6
2024,219735497,5
2024,219735498,5
2024,219735499,5
2024,219735525,4
2024,219740203,4
2024,219734883,5
2024,219739706,4
2024,219738225,5
2024,219734902,4
2024,219734902,8
2024,219734924,4
2024,219734953,5
2024,219735036,4
2024,219734860,4
2024,219735008,4
2024,219736527,4
2024,220174322,5
2024,219736311,4
2024,219740019,4
2024,219735488,4
2024,219734903,4
2024,219734758,4
2024,219739993,5
2024,219739994,5
2024,219734864,4
2024,219740198,5
2024,219734897,5
2024,220642630,4
2024,219734946,4
2024,219739069,5
2024,219739071,5
2024,219734943,4
2024,219735551,3
2024,219734899,4
2024,219737090,4
2024,219740199,4
2024,219739981,4
2024,219738173,4
2024,219740205,5
2024,219735933,4
2024,219735516,4
2024,219734857,4
2024,219735002,5
2024,219735003,5
2024,219735004,5
2024,219735514,5
2024,219738610,4
2024,219736682,5
2024,232377046,5
2024,232377047,5
2024,219734881,1
2024,219734881,6
2024,219734855,4
2024,219734968,3
2024,219734968,6
2024,219738056,4
2024,220166191,4
2024,219740186,5
2024,219740187,5
2024,219740188,5
2024,219734830,4
2024,219734880,4
2024,219740195,4
2024,219734908,5
2024,219735067,4
2024,219735085,1
2024,219734858,4
2024,219734900,4
2024,219734901,4
2024,219734756,4
2024,219734768,5
2024,221401640,5
2024,220309562,4
2024,220309416,4
2024,220309580,4
2024,220309626,8
2024,220309507,5
2024,220309508,5
2024,220309509,5
2024,220309510,5
2024,220309511,5
2024,220309512,5
2024,220309513,5
2024,220309514,5
2024,220309602,5
2024,220310545,4
2024,220310545,6
2024,220309615,4
2024,220309415,5
2024,220309609,5
2024,220310542,4
2024,220309624,8
2024,220309475,5
2024,220309523,4
2024,220309563,6
2024,220309560,4
2024,220309554,4
2024,220309638,5
2024,220309605,4
2024,220588671,4
2024,221401641,5
2024,220309473,4
2024,220309526,5
2024,222749355,5
2024,220309636,4
2024,220309531,5
2024,220309442,5
2024,220309443,5
2024,220309505,4
2024,220584911,4
2024,220584911,8
2024,220584912,4
2024,220584912,8
2024,220310537,4
2024,220309618,4
2024,220309478,5
2024,220309498,5
2024,220309593,5
2024,220309594,5
2024,220309403,4
2024,220505631,5
2024,232377079,5
2024,232377080,5
2024,220309440,4
2024,220309613,1
2024,220642593,4
2024,221101030,5
2024,220309346,6
2024,220309607,4
2024,220309407,3
2024,221916508,4
2024,221401587,6
2024,221401588,6
2024,221401589,6
2024,221401590,6
2024,221401591,6
2024,221794072,6
2024,232378897,5
2024,222748612,4
2024,221801985,4
2024,221794052,5
2024,221802032,5
2024,226866197,5
2024,232378907,5
2024,222931067,5
2024,224237081,5
2024,232378922,4
2024,221802025,4
2024,221802026,4
2024,221807077,4
2024,223651992,5
2024,223652015,5
2024,221793352,4
2024,221799035,2
2024,221799035,4
2024,222749346,4
2024,222749347,4
2024,223652047,2
2024,223652047,4
2024,221802029,5
2024,221802030,5
2024,221802073,5
