data_year,victim_id,circumstances_id,justifiable_force_id
2024,214111260,21,1
2024,219116975,21,1
2024,220173770,21,1
2024,220173771,21,1
2024,221101024,21,1
2024,227522032,21,1
2024,218288013,21,1
2024,230131240,21,1
2024,218794414,21,2
2024,228763162,20,3
2024,218950453,20,5
2024,221101023,20,5
2024,222706440,21,5
2024,222706441,21,5
2024,224260653,21,6
