data_year,criminal_act_id,offense_id
2024,8,234210385
2024,2,234209097
2024,8,234210993
2024,12,234209872
2024,6,234209225
2024,6,234209226
2024,6,234209107
2024,6,234209108
2024,6,234209865
2024,6,234209866
2024,6,234209470
2024,6,234209328
2024,6,234209329
2024,6,234214700
2024,6,234209331
2024,8,234214466
2024,8,234209334
2024,6,234214678
2024,6,234209849
2024,6,234214694
2024,6,234214695
2024,6,235579061
2024,6,234209341
2024,6,234209342
2024,6,234643154
2024,6,234209415
2024,6,234209410
2024,6,234209411
2024,6,234209412
2024,6,234209852
2024,6,235124293
2024,6,234209118
2024,6,234209119
2024,6,234209287
2024,6,234209206
2024,6,234209207
2024,6,234468058
2024,6,234209218
2024,6,234209188
2024,6,234209189
2024,6,234209376
2024,6,234209377
2024,6,234209312
2024,6,234209202
2024,1,234214719
2024,6,234214719
2024,8,234214719
2024,1,234214720
2024,6,234214720
2024,8,234214720
2024,6,234209357
2024,6,234209358
2024,6,234209981
2024,6,234209168
2024,6,234209169
2024,6,234209944
2024,6,234477459
2024,6,234477460
2024,6,234211244
2024,6,234214691
2024,6,234785463
2024,6,234785464
2024,6,234787011
2024,6,234787012
2024,6,234785482
2024,6,234785591
2024,6,234785459
2024,6,234785460
2024,6,234785626
2024,6,234785615
2024,8,234785629
2024,6,234785504
2024,6,234785416
2024,6,234785417
2024,6,234979799
2024,8,234979799
2024,6,234979800
2024,8,234979800
2024,6,234785484
2024,6,234785583
2024,8,234785403
2024,6,246854044
2024,6,234785492
2024,6,234785555
2024,8,234785458
2024,6,234986558
2024,6,234986559
2024,6,234785588
2024,6,234785508
2024,6,234785452
2024,6,234785453
2024,6,234786608
2024,6,234785646
2024,6,234785608
2024,6,234785437
2024,6,234785438
2024,9,234785567
2024,6,234785557
2024,6,235092588
2024,6,235092589
2024,6,234785405
2024,6,234785474
2024,5,234785638
2024,6,234785489
2024,6,234786616
2024,6,235062011
2024,6,234785415
2024,6,235090604
2024,6,235090605
2024,6,234785558
2024,6,234787010
2024,5,234785511
2024,5,234785413
2024,6,234785497
2024,8,234785498
2024,6,234785432
2024,6,234785450
2024,6,234785451
2024,6,235075363
2024,8,234785462
2024,8,234785411
2024,8,234785412
2024,6,234785560
2024,6,234643229
2024,6,234785517
2024,6,234785448
2024,6,234785515
2024,6,234785516
2024,6,235121472
2024,6,235090601
2024,6,234785578
2024,6,234785579
2024,5,234785596
2024,8,234785634
2024,8,234785611
2024,8,234785454
2024,6,234785408
2024,6,234785476
2024,6,234785477
2024,6,234785422
2024,6,234785521
2024,6,234785429
2024,6,234785430
2024,6,234785581
2024,6,234785582
2024,6,236272960
2024,6,238112704
2024,6,238112705
2024,6,235875796
2024,8,236307280
2024,6,237216070
2024,6,238112742
2024,6,238112743
2024,6,238112745
2024,6,238112747
2024,8,236272943
2024,8,236272944
2024,6,236265236
2024,6,239356843
2024,6,239356844
2024,6,239356845
2024,6,238112697
2024,6,238112698
2024,8,236270044
2024,6,236428177
2024,6,236278091
2024,6,236273021
2024,6,238112759
2024,6,238598621
2024,6,238598548
2024,6,238721386
2024,6,238721387
2024,6,238598605
2024,6,238721392
2024,6,238721390
2024,6,238721391
2024,8,238598613
2024,8,238598614
2024,6,238597701
2024,6,238597702
2024,6,238721388
2024,6,238597435
2024,6,238597436
2024,6,238722035
2024,6,238722036
2024,6,238598565
2024,6,238598566
2024,8,238597394
2024,6,238597778
2024,6,238597796
2024,6,238721395
2024,8,238721402
2024,6,238597743
2024,6,238597744
2024,6,238597339
2024,1,238597788
2024,6,238598604
2024,2,238598818
2024,6,238597372
2024,6,238597373
2024,6,238597713
2024,6,238597714
2024,6,238597820
2024,6,238597813
2024,6,238597814
2024,6,239007221
2024,6,239007222
2024,6,238597399
2024,14,238597381
2024,6,238597415
2024,6,238721250
2024,8,238598810
2024,8,238598807
2024,6,238598582
2024,6,238598583
2024,6,238597423
2024,6,238721246
2024,6,238721247
2024,6,238597716
2024,6,238597717
2024,9,238597344
2024,6,238597815
2024,6,238598634
2024,6,238597807
2024,6,238597443
2024,6,238597390
2024,6,238597446
2024,6,238597429
2024,6,238597404
2024,6,238721370
2024,9,238597347
2024,6,238598799
2024,6,238598800
2024,6,238597432
2024,6,238598536
2024,6,238598537
2024,6,238597406
2024,6,238597410
2024,6,239006703
2024,6,239006704
2024,6,238597392
2024,6,238721245
2024,6,239158518
2024,6,240404342
2024,6,240404343
2024,9,239159215
2024,6,239159195
2024,6,239158393
2024,6,239158394
2024,8,239158479
2024,6,239158369
2024,6,239158370
2024,6,239159196
2024,8,239158316
2024,8,239158317
2024,6,239158220
2024,3,239158490
2024,6,239158493
2024,6,239158494
2024,6,239158402
2024,6,239158403
2024,6,239158429
2024,6,239158430
2024,6,239158215
2024,6,240404246
2024,6,240404247
2024,9,239158373
2024,6,239159349
2024,6,239159350
2024,6,239158367
2024,6,239159263
2024,6,239158199
2024,6,239159265
2024,6,239159266
2024,6,239158501
2024,6,239158437
2024,2,239158366
2024,6,239159179
2024,6,239159174
2024,6,240753972
2024,6,239159232
2024,6,239158184
2024,6,239158185
2024,8,239158302
2024,6,239159380
2024,6,239159352
2024,6,239159209
2024,6,239159210
2024,6,239158535
2024,6,239158522
2024,6,239158523
2024,9,239158305
2024,6,239159398
2024,14,239159299
2024,6,239159230
2024,6,239159231
2024,6,239158473
2024,6,239159197
2024,6,239159181
2024,6,239159182
2024,6,240404270
2024,6,239158382
2024,6,239159393
2024,6,239159394
2024,6,239158313
2024,6,239159378
2024,6,239159379
2024,6,239158417
2024,6,239158322
2024,6,239158323
2024,6,239159185
2024,6,239159186
2024,6,239159343
2024,6,239159344
2024,6,239159345
2024,6,239158172
2024,6,239158173
2024,6,239158174
2024,6,239158395
2024,6,239158396
2024,6,239158397
2024,6,239158508
2024,6,239158509
2024,4,241322994
2024,6,239158343
2024,3,239159245
2024,6,239159245
2024,6,239159246
2024,6,239159247
2024,6,239158527
2024,6,239158528
2024,6,239159238
2024,6,239159239
2024,6,239159353
2024,6,239159354
2024,6,239159336
2024,6,239159337
2024,6,239158537
2024,8,239159194
2024,6,239158533
2024,6,239158534
2024,6,239159189
2024,6,239158391
2024,6,239158347
2024,6,239159348
2024,6,240404345
2024,6,240404346
2024,5,239158180
2024,6,239159315
2024,6,239158333
2024,6,239158446
2024,6,239158447
2024,6,239158515
2024,6,239158516
2024,6,239158524
2024,6,241323032
2024,6,241322968
2024,6,241322969
2024,6,241323099
2024,6,241323100
2024,6,241323101
2024,6,241323186
2024,8,241323277
2024,6,241323123
2024,6,241323070
2024,6,241323071
2024,6,241323112
2024,8,241323213
2024,6,241322995
2024,6,241322987
2024,6,241323307
2024,6,241322880
2024,6,241322881
2024,6,241323190
2024,6,241323199
2024,12,241322978
2024,4,241322906
2024,5,241322909
2024,6,241323110
2024,6,241323288
2024,6,241323289
2024,6,241322929
2024,8,241322976
2024,6,241323223
2024,6,241323194
2024,6,241323195
2024,6,241322910
2024,2,241323141
2024,6,241323244
2024,6,241323259
2024,6,241323064
2024,8,241323089
2024,6,241322924
2024,6,241323184
2024,3,241322948
2024,6,241323076
2024,6,241323283
2024,6,241322938
2024,6,241322939
2024,6,241322886
2024,6,241322887
2024,6,241323196
2024,6,241322970
2024,6,241323173
2024,6,241323174
2024,9,243639086
2024,6,241323108
2024,6,241323109
2024,6,241323271
2024,6,241323023
2024,6,241323024
2024,6,241323251
2024,8,241322944
2024,6,241322960
2024,6,241322990
2024,6,241322991
2024,6,241323160
2024,6,241323161
2024,6,241322867
2024,6,241323284
2024,6,241323286
2024,6,241323234
2024,6,241323235
2024,6,241323303
2024,3,241323304
2024,6,241323042
2024,6,241323043
2024,6,241323044
2024,6,241322965
2024,8,243641561
2024,6,243638983
2024,6,243638984
2024,6,243638985
2024,8,243644543
2024,6,243638947
2024,6,243638948
2024,6,243643129
2024,6,243641515
2024,8,243638902
2024,6,243643214
2024,6,243638887
2024,6,243639035
2024,6,243639036
2024,6,243643317
2024,6,243643318
2024,6,243639049
2024,6,243639050
2024,6,243643241
2024,6,243643242
2024,6,243641599
2024,6,243644480
2024,6,243639092
2024,6,243643125
2024,6,243643126
2024,6,243643127
2024,6,243637143
2024,6,243637144
2024,6,243639030
2024,6,243639031
2024,6,243641574
2024,6,243641575
2024,6,243638917
2024,6,243638918
2024,6,243638919
2024,6,243639014
2024,6,243637286
2024,8,243637158
