data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2024,60255601,,51
2024,57502324,,51
2024,56479851,,51
2024,56479857,,51
2024,56479860,,51
2024,56479861,,51
2024,56479862,,52
2024,56479863,,51
2024,56479864,,51
2024,56479866,,51
2024,56479867,,51
2024,56479868,,51
2024,56479872,,51
2024,56479959,,51
2024,56929764,,51
2024,57502325,,51
2024,57502326,,51
2024,56929765,,51
2024,56929766,,1
2024,56929767,,51
2024,56929768,,52
2024,56929769,,51
2024,56929770,,51
2024,56929771,,51
2024,56929772,,51
2024,56929773,,51
2024,57502327,,51
2024,57502328,,51
2024,57502330,,51
2024,57502331,,51
2024,57502332,,51
2024,57502333,,51
2024,57502334,,51
2024,57502359,,51
2024,57502360,,51
2024,62161289,,51
2024,57502362,,51
2024,57502363,,51
2024,57502364,,51
2024,57502365,,51
2024,57502366,,51
2024,59552475,,51
2024,58231285,,51
2024,58231286,,51
2024,58231287,,51
2024,58231288,,51
2024,57502372,,51
2024,58231309,,51
2024,58513980,,51
2024,58513981,,51
2024,58231310,,51
2024,58231311,,51
2024,58231313,,51
2024,58231312,,51
2024,58231314,,51
2024,58231315,,51
2024,58231316,,51
2024,58513982,,51
2024,58513983,,51
2024,61098304,,51
2024,58513984,,51
2024,58513985,,51
2024,59552750,,51
2024,58513987,,51
2024,58513988,,51
2024,58513989,,53
2024,59037401,,51
2024,59037403,,51
2024,58513992,,51
2024,59552948,,51
2024,58513993,,51
2024,58513994,,51
2024,59553193,,51
2024,58513996,,51
2024,59985963,,51
2024,59037410,,51
2024,59037413,,51
2024,59553287,,51
2024,59037423,,51
2024,59037426,,51
2024,59037435,,51
2024,59037439,,51
2024,59037448,,51
2024,60561696,,51
2024,60561697,,51
2024,60561698,,51
2024,59037458,,51
2024,59232581,,51
2024,59037462,,51
2024,59553561,,51
2024,59553579,,51
2024,59037472,,51
2024,59553584,,51
2024,60561699,,52
2024,59553587,,51
2024,59553592,,51
2024,60561700,,52
2024,60561701,,51
2024,59553594,,51
2024,59553595,,51
2024,59553596,,51
2024,59553597,,51
2024,59553709,,51
2024,59553600,,51
2024,59553601,,51
2024,59553603,,51
2024,59553602,,51
2024,59553604,,51
